Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Season,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Body,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,num_image_ratings,Classification
13,5,27,93,9,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button Up Drop Shoulder Blouse,11.0,1,1,4,4,5232,1
13,5,23,93,9,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button Up Drop Shoulder Blouse,11.0,1,1,4,4,5232,1
13,5,12,93,9,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button Up Drop Shoulder Blouse,11.0,1,1,4,4,5232,1
9,2,5,93,1,38,24,3,13,2,6,18,3,0,5,6,2,1,4,SHEIN Lettuce Trim Rib-knit Crop Top,7.99,1,1,4,4,6,0
7,2,51,93,1,38,24,3,13,2,6,18,3,0,5,6,2,1,4,SHEIN Lettuce Trim Rib-knit Crop Top,5.99,1,1,4,4,6,0
9,2,5,93,1,38,5,3,13,1,6,18,3,0,5,6,2,1,4,SHEIN Button Front Crop Tee,7.99,1,1,4,4,17,0
9,2,51,93,1,38,5,3,13,1,6,18,3,0,5,6,2,1,4,SHEIN Button Front Crop Tee,7.99,1,1,4,4,17,0
4,0,27,93,9,38,24,3,13,2,4,18,0,0,5,6,2,1,4,SHEIN Solid Form Fitted Tee,3.99,1,1,4,4,3363,1
4,2,53,93,9,38,24,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Solid Waffle Knit Tee,3.99,1,1,4,4,3363,1
4,0,51,93,9,38,24,3,13,2,4,18,0,0,5,6,2,1,4,SHEIN Solid Form Fitted Tee,3.99,1,1,4,4,3363,1
24,2,24,93,5,47,24,3,13,2,4,5,1,0,3,6,2,1,4,Ripped Washed Straight Leg Jeans,20.0,1,1,4,4,8,0
24,2,17,93,5,47,24,3,13,2,4,5,1,0,3,6,3,1,4,Ripped Washed Straight Leg Jeans,20.0,1,1,4,4,8,0
20,5,19,93,9,38,32,3,2,2,4,0,1,0,3,6,2,1,4,Mock Neck Ruffle Trim Pointelle Knit Sweater,17.0,1,1,4,4,21,0
20,2,29,93,1,47,24,3,13,2,4,5,3,0,4,6,2,1,4,Bleach Wash Ripped Roll Hem Denim Shorts,17.0,1,1,4,4,61,0
19,2,24,93,1,47,24,3,13,2,4,5,3,0,4,6,2,1,4,Bleach Wash Ripped Roll Hem Denim Shorts,16.0,1,1,4,4,61,0
20,2,17,93,1,47,24,3,13,2,4,5,3,0,4,6,2,1,4,Bleach Wash Ripped Roll Hem Denim Shorts,17.0,1,1,4,4,61,0
3,8,6,115,1,52,18,3,13,2,8,18,3,0,5,6,2,1,4,SHEIN Notched Neck Lettuce Trim Zebra Striped Tank Top,2.49,1,1,4,4,39,0
4,2,32,115,1,52,18,3,13,2,8,18,3,0,5,6,2,1,4,SHEIN Notched Neck Lettuce Trim Zebra Striped Tank Top,4.0,1,1,4,4,39,0
6,2,6,70,1,38,24,3,13,2,6,18,3,0,5,6,2,1,4,SHEIN Lettuce Trim Newspaper Print Top,4.99,1,1,4,4,96,0
6,2,32,70,1,38,24,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Lettuce Trim Newspaper Print Top,4.99,1,1,4,4,96,0
4,2,51,93,1,10,28,3,13,2,8,18,3,0,5,6,2,1,4,SHEIN Rib-knit Solid Cami Top,4.0,1,1,4,4,33,0
24,2,16,93,10,29,5,3,6,2,9,18,1,0,3,6,2,1,4,Drop Shoulder Zip Up Puffer Jacket,20.49,3,1,4,4,79,0
27,2,22,93,10,29,5,3,6,2,9,18,1,0,3,6,2,1,4,Drop Shoulder Zip Up Puffer Jacket,22.99,3,1,4,4,79,0
21,2,1,93,10,29,5,3,6,2,9,18,1,0,3,6,2,1,4,Drop Shoulder Zip Up Puffer Jacket,17.99,3,1,4,4,10,0
24,2,20,93,10,29,5,3,6,2,9,18,1,0,3,6,2,1,4,Drop Shoulder Zip Up Puffer Jacket,20.49,3,1,4,4,79,0
24,2,4,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,20.0,1,1,4,4,32,0
15,2,19,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,13.0,1,1,4,4,32,0
16,2,5,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,13.49,1,1,4,4,32,0
10,2,31,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,8.49,1,1,4,4,32,0
15,2,21,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,13.0,1,1,4,4,32,0
24,2,25,93,1,38,39,3,12,2,4,16,0,0,3,6,2,1,4,Button Front Fuzzy Cardigan With Bandeau,20.0,1,1,4,4,32,0
26,6,12,93,5,39,17,3,13,2,1,17,3,0,3,6,2,1,4,Peak Collar Pocket Front PU Leather Blazer,22.0,2,1,4,4,49,0
13,6,11,93,5,39,17,3,13,2,1,17,3,0,3,6,2,1,4,Peak Collar Pocket Front PU Leather Blazer,10.99,2,1,4,4,49,0
25,5,5,93,5,39,17,3,13,2,1,17,3,0,3,6,2,1,4,Peak Collar Pocket Front PU Leather Blazer,21.0,2,1,4,4,49,0
13,5,32,41,10,0,32,3,7,2,6,18,1,0,3,6,2,1,4,Allover Floral Print Shirred Waist A-line Dress,11.0,1,1,1,4,1337,1
15,5,10,41,10,0,32,3,7,2,6,18,1,0,3,6,2,1,4,Allover Floral Print Shirred Waist A-line Dress,13.0,1,1,1,4,1337,1
4,2,30,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Rib-knit Solid Tee,3.99,1,1,4,4,1435,1
4,2,5,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Rib-knit Solid Tee,3.99,1,1,4,4,1447,1
4,2,21,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Lettuce Trim Rib-knit Tee,3.99,1,1,4,4,1447,1
4,2,34,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Lettuce Trim Rib-knit Tee,3.99,1,1,4,4,1447,1
4,2,19,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Lettuce Trim Rib-knit Tee,3.99,1,1,4,4,1447,1
4,2,27,93,1,38,39,5,13,2,8,3,3,0,5,6,2,1,4,SHEIN Surplice Neck Rib-knit Solid Tee,3.99,1,1,4,4,1447,1
20,2,30,93,1,38,28,7,13,2,4,18,0,0,5,6,2,1,1,SHEIN Drawstring Knot Ruched Cami Top & Leggings Set With Coat,17.0,1,1,4,1,71,0
25,2,0,93,1,38,28,3,13,2,4,18,0,0,5,6,2,1,1,SHEIN Drawstring Knot Ruched Cami Top & Leggings Set With Coat,21.0,1,1,4,1,71,0
18,5,5,93,10,18,10,3,10,2,6,3,3,0,3,6,2,1,4,Frill Trim Knot Side Wrap Dress,15.0,1,1,9,4,107,0
18,5,22,93,10,18,10,3,10,2,6,18,3,0,3,6,2,1,4,Frill Trim Knot Side Wrap Dress,15.0,1,1,9,4,107,0
14,2,32,109,5,49,24,3,13,2,0,18,1,0,3,4,2,1,4,Tartan High Waist Sweatpants,12.0,1,1,4,4,459,0
14,2,32,109,5,49,24,3,13,2,7,18,1,0,3,4,2,1,4,Tartan High Waist Sweatpants,12.0,1,1,4,4,459,0
6,2,51,93,1,38,24,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Solid Crop Slim Tee,4.99,1,1,4,4,33,0
9,2,5,103,5,38,24,2,6,2,6,18,3,0,1,6,2,1,4,Drop Shoulder Slogan Graphic Longline Tee,7.99,1,1,4,4,180,0
9,2,51,103,5,38,24,8,6,2,6,18,3,0,1,6,2,1,4,Drop Shoulder Slogan Graphic Longline Tee,7.99,1,1,4,4,180,0
9,2,9,103,5,38,24,2,6,2,6,18,3,0,1,6,2,1,4,Drop Shoulder Slogan Graphic Longline Tee,7.99,1,1,4,4,180,0
9,2,2,103,5,38,24,9,6,2,6,18,3,0,1,6,2,1,4,Drop Shoulder Slogan Graphic Longline Tee,7.99,1,1,4,4,180,0
4,1,6,1,1,10,28,3,13,2,8,18,3,0,5,6,2,1,4,SHEIN Frill Trim Ruched Bust Cow Print Cami Top,4.0,1,1,4,4,5063,1
15,5,5,93,1,40,10,3,13,1,6,25,1,0,3,6,2,1,4,Lace Panel Scallop Trim Blouse,13.0,1,1,4,4,15,0
15,5,10,93,9,40,39,3,11,1,4,25,1,0,3,6,2,1,4,Contrast Lace Puff Sleeve Blouse,13.0,1,1,4,4,15,0
15,5,51,93,1,40,10,3,11,1,6,25,1,0,3,6,2,1,4,Lace Panel Scallop Trim Blouse,13.0,1,1,4,4,15,0
15,5,0,93,9,40,39,3,11,1,4,25,1,0,3,6,2,1,4,Contrast Lace Puff Sleeve Blouse,13.0,1,1,4,4,15,0
15,5,19,93,1,40,39,3,11,1,3,25,1,0,3,6,2,1,4,Contrast Lace Puff Sleeve Blouse,13.0,1,1,4,4,15,0
15,5,53,93,9,40,39,3,11,1,4,25,1,0,3,6,2,1,4,Contrast Lace Puff Sleeve Blouse,13.0,1,1,4,4,15,0
21,2,5,103,5,38,15,3,6,2,2,18,3,0,1,6,2,1,4,Slogan Graphic Kangaroo Pocket Fleece Lined Drawstring Hoodie,17.99,1,1,4,4,679,1
21,2,51,103,5,38,15,3,6,2,2,18,3,0,1,6,2,1,4,SHEIN X WEJDENE No Thanks Graphic Fleece Drawstring Oversized Hoodie,17.99,1,1,4,4,679,1
7,2,5,40,9,38,24,3,12,2,4,18,3,0,3,6,2,1,4,SHEIN Floral Print Raglan Sleeve Pullover,5.99,1,1,4,4,612,1
4,2,51,40,9,38,24,3,12,2,4,18,3,0,3,6,2,1,4,SHEIN Floral Raglan Sleeve Pullover,3.99,1,1,4,4,612,1
34,2,11,69,1,38,15,3,6,2,4,18,1,0,3,6,2,1,4,SHEIN Drop Shoulder Letter Graphic Drawstring Hoodie & Pants Set,28.0,1,1,4,4,33,0
0,2,5,93,9,29,32,3,13,2,9,16,1,0,3,6,2,1,4,SHEIN Stand Neck Puffer Jacket,20.49,3,1,4,4,268,0
14,2,32,68,5,60,18,3,13,2,4,18,1,0,3,6,2,1,4,Notched Leopard High Low Blouse,12.0,1,1,4,4,499,0
14,2,32,68,5,60,18,3,13,2,4,18,1,0,3,6,2,1,4,Notched Leopard High Low Blouse,12.0,1,1,4,4,498,0
14,2,32,68,5,60,18,3,13,2,4,18,1,0,3,6,2,1,4,Notched Leopard High Low Blouse,12.0,1,1,4,4,20,0
10,5,32,68,5,19,24,3,13,2,7,18,0,0,3,4,2,1,4,SHEIN Leopard Print Flare Leg Pants,9.0,1,1,4,4,578,0
14,2,5,93,5,42,24,3,13,2,7,18,3,0,4,4,2,1,4,SHEIN Split Hem Rib-knit Fitted Pants,12.0,1,1,4,4,256,0
13,2,21,93,5,42,24,3,13,2,7,18,3,0,4,4,2,1,4,SHEIN Split Hem Rib-knit Fitted Pants,11.0,1,1,4,4,256,0
18,2,4,93,9,3,40,3,13,2,4,0,3,0,5,6,2,1,4,SHEIN V-neck Solid Rib-knit Sweater,15.0,1,1,4,4,823,1
18,2,18,93,9,3,40,3,13,2,4,0,3,0,5,6,2,1,4,SHEIN V-neck Solid Rib-knit Sweater,15.0,1,1,4,4,823,1
18,2,42,93,9,3,40,3,13,2,4,0,0,0,5,6,2,1,4,SHEIN V-neck Rib-knit Sweater,15.0,1,1,4,4,823,1
18,2,0,93,9,3,39,3,13,2,4,0,3,0,5,6,2,1,4,SHEIN V-neck Solid Rib-knit Sweater,15.0,1,1,4,4,823,1
15,5,5,93,10,7,24,3,13,2,4,18,0,0,5,6,4,1,4,SHEIN Drawstring Ruched Bodycon Dress,13.0,1,1,4,4,2009,1
17,2,39,93,10,7,24,3,13,2,4,18,0,0,5,6,4,1,4,SHEIN Ruched Drawstring Side Rib-knit Dress,14.0,1,1,4,4,1995,1
17,2,19,93,10,7,24,3,13,2,3,18,0,0,5,6,4,1,4,SHEIN Drawstring Ruched Side Rib-knit Dress,14.0,1,1,4,4,2009,1
17,2,22,93,10,7,24,3,13,2,4,18,0,0,5,6,4,1,4,SHEIN Drawstring Ruched Side Rib-knit Dress,14.0,1,1,4,4,2009,1
7,8,5,40,1,56,32,3,13,2,6,12,3,2,4,6,4,1,4,SHEIN Mock Neck Flocked Floral Mesh Sheer Bodysuit,6.0,1,1,4,4,467,0
17,2,5,93,9,40,39,3,11,1,4,18,1,0,3,6,2,1,4,Contrast Guipure Lace Button Front Puff Sleeve Blouse,14.0,1,1,4,4,85,0
17,5,47,93,9,40,39,3,2,1,4,18,1,0,3,6,2,1,4,Contrast Lace Button Front Bishop Sleeve Blouse,14.0,1,1,4,4,85,0
17,5,10,93,9,40,39,3,11,1,4,18,1,0,3,6,2,1,4,Contrast Guipure Lace Button Front Puff Sleeve Blouse,14.0,1,1,4,4,85,0
17,2,5,15,10,60,24,3,7,2,6,3,3,0,3,6,2,1,4,Chain Print Flounce Sleeve Dress,14.0,1,1,7,4,63,0
10,2,1,21,10,56,24,3,7,2,6,3,3,0,3,6,2,1,4,Chain Print Flounce Sleeve Dress,9.0,1,1,7,4,63,0
12,2,9,15,10,60,24,3,7,2,6,3,3,0,3,6,2,1,4,Chain Print Flounce Sleeve Dress,10.0,1,1,7,4,57,0
31,2,5,93,9,26,15,3,6,2,2,18,1,0,3,6,2,1,4,SHEIN Single Breasted Shearling Lined Jacket,26.0,1,1,4,4,11,0
15,9,5,93,1,38,24,3,13,2,4,18,1,0,5,6,2,1,1,SHEIN Solid Crop Tee & Leggings Set,13.0,1,1,4,5,26,0
13,5,5,93,8,7,32,3,13,2,4,19,3,0,5,6,4,1,4,SHEIN Stand Collar Bodycon Dress,11.0,1,1,4,4,515,0
13,5,12,93,8,7,32,3,13,2,4,19,3,0,5,6,4,1,4,SHEIN Mock Neck Rib-knit Bodycon Dress,11.0,1,1,4,4,515,0
13,5,45,93,8,7,32,3,13,2,4,19,3,0,5,6,4,1,4,SHEIN Mock Neck Rib-knit Bodycon Dress,11.0,1,1,4,4,515,0
14,5,0,93,8,7,32,3,13,2,4,19,3,0,5,6,4,1,4,SHEIN Mock Neck Rib-knit Bodycon Dress,12.0,1,1,4,4,515,0
23,2,6,57,10,55,5,3,6,2,2,8,1,0,3,6,2,1,4,Button Front Gingham Teddy Coat,19.0,1,1,4,4,31,0
31,2,6,20,1,38,5,3,6,2,4,18,3,0,1,6,2,1,4,Drop Shoulder Oversized Tunic Blouse & Vest,26.0,1,1,4,4,110,0
31,2,32,20,1,38,5,3,6,2,4,18,3,0,1,6,2,1,4,Drop Shoulder Oversized Blouse & Asymmetrical Knit Top,26.0,1,1,4,6,110,0
31,2,32,20,1,38,5,3,6,2,4,18,3,0,1,6,2,1,4,Drop Shoulder Oversized Blouse & Asymmetrical Knit Top,26.0,1,1,4,0,110,0
31,2,32,20,1,38,5,3,6,2,4,18,3,0,1,6,2,1,4,Drop Shoulder Oversized Blouse & Asymmetrical Knit Top,26.0,1,1,4,6,110,0
10,5,6,91,8,46,24,3,13,2,2,23,1,0,3,6,2,1,4,SHEIN High Waist Plaid Tweed Skirt,9.0,1,1,4,4,376,0
10,5,5,91,8,46,24,3,13,2,2,23,1,0,3,6,2,1,4,SHEIN High Waist Plaid Tweed Skirt,9.0,1,1,4,4,376,0
13,1,30,93,1,57,36,3,2,2,6,18,1,0,3,6,2,1,4,Swiss Dot Ruched Bust Crop Blouse,11.0,1,1,4,4,1699,1
13,2,51,93,1,57,36,3,2,2,6,18,1,0,3,6,2,1,4,Clip Dot Sheer Bishop Sleeve Crop Top,11.0,1,1,4,4,1699,1
13,1,53,93,1,57,36,3,2,2,4,18,1,0,3,6,2,1,4,Swiss Dot Ruched Bust Crop Blouse,11.0,1,1,4,4,1699,1
13,1,2,93,1,57,36,3,2,2,6,18,1,0,3,6,2,1,4,Swiss Dot Ruched Bust Crop Blouse,11.0,1,1,4,4,1699,1
13,1,5,93,1,57,36,3,2,2,6,18,1,0,3,6,2,1,4,Swiss Dot Ruched Bust Crop Blouse,11.0,1,1,4,4,1699,1
13,5,52,93,1,57,36,3,2,2,6,18,1,0,3,6,2,1,4,Swiss Dot Bishop Sleeve Crop Blouse,11.0,1,1,4,4,1699,1
7,5,5,93,9,38,30,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Square Neck Form Fitted Top,5.99,1,1,4,4,125,0
8,2,51,93,9,38,30,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Square Neck Form Fitted Top,6.99,1,1,4,4,125,0
4,5,10,93,9,38,30,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN Square Neck Form Fitted Top,3.99,1,1,4,4,125,0
7,5,32,109,10,10,28,7,13,2,8,18,3,0,5,6,4,1,4,SHEIN Split Hem Tartan Bodycon Dress,6.0,1,1,6,4,1553,1
7,5,32,109,10,7,28,7,13,2,8,18,3,0,5,6,4,1,4,SHEIN Split Hem Tartan Bodycon Dress,6.0,1,1,4,4,1553,1
9,2,5,69,1,38,32,3,13,0,6,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
9,2,12,69,1,38,32,3,13,0,4,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
9,2,51,69,1,38,32,3,13,0,6,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
9,2,10,69,1,38,32,3,13,0,4,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
9,5,2,69,1,38,14,3,13,0,6,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
9,2,22,69,1,38,23,3,13,0,6,18,3,0,5,6,2,1,4,Letter Graphic Zip Half Placket Tee,7.99,1,1,4,4,233,0
6,8,32,104,1,38,32,3,13,2,6,12,3,0,5,6,2,1,4,SHEIN Mock Neck Snakeskin Print Mesh Crop Top,5.0,1,1,4,4,124,0
6,8,32,104,1,38,32,3,13,2,6,12,3,0,5,6,2,1,4,SHEIN Mock Neck Snakeskin Print Mesh Crop Top,5.0,1,1,4,4,124,0
15,2,22,69,5,38,24,2,6,2,8,18,3,0,3,6,2,1,4,Letter Graphic Drop Shoulder Longline Tee,12.99,1,1,4,4,3145,1
15,2,51,69,5,38,24,2,6,2,8,18,3,0,3,6,2,1,4,Los Angeles Graphic Oversized Tee,12.99,1,1,4,4,3145,1
15,2,5,69,5,38,24,2,6,2,8,18,3,0,3,6,2,1,4,Los Angeles Graphic Oversized Tee,12.99,1,1,4,4,3145,1
18,2,15,69,5,38,24,2,6,2,8,18,3,0,3,6,2,1,4,Letter Graphic Drop Shoulder Longline Tee,14.99,1,1,4,4,3145,1
18,2,34,69,5,38,24,2,6,2,8,18,3,0,3,6,2,1,4,Letter Graphic Drop Shoulder Longline Tee,14.99,1,1,4,4,3145,1
