,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Belt,Hem Shaped,Top Type,Arabian Clothing,Placket
26,swouter01200818266,Argyle Pattern Button Front Cardigan,19.0,652,0,0,6,1,19,3,41,13,587,127,23,Preppy,Navy Blue,Geometric,Regular,Cardigan,V neck,Long Sleeve,Regular Sleeve,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
27,swvest07201203147,SHEIN Leopard Crop Tank Top,4.0,55,0,0,0,0,0,0,2,1,53,10,4,Elegant,Multicolor,Leopard,Crop,Tank,Straps,,,,,Summer,"6% Spandex, 94% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
28,swtwop07200904381,SHEIN Letter Embroidered Drop Shoulder Crop Top and Joggers Set,20.0,250,10,3,6,1,15,5,11,4,209,60,24,Casual,Black,Letter,,,Round Neck,Long Sleeve,"Bishop Sleeve, Drop Shoulder",,"Embroidery, Knot",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,,,Tee,,
29,swdress07201111136,SHEIN Solid A Line Dress,14.0,527,5,1,0,0,12,3,19,8,491,177,17,Casual,Navy Blue,Plain,Short,A Line,Round Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,Flared,,,
30,swdress07200924111,SHEIN Solid A Line Dress,15.0,527,5,1,0,0,12,3,19,8,491,177,18,Casual,Dark Grey,Plain,Short,A Line,Boat Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,Flared,,,
31,swdress07201111852,SHEIN Solid A Line Dress Without Belt,10.0,527,5,1,0,0,12,3,19,8,491,177,12,Casual,Khaki,Plain,Short,A Line,Scoop Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,Flared,,,
32,swdress07201111455,SHEIN Solid A Line Dress,14.0,527,5,1,0,0,12,3,19,8,491,177,17,Casual,Black,Plain,Short,A Line,Boat Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,Flared,,,
33,swvest07201113678,SHEIN Lettuce Trim Rib-knit Cami Top,4.0,1363,7,2,12,2,32,9,79,22,1233,382,4,Casual,Dusty Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
34,swvest07200826122,SHEIN Lettuce Trim Rib-knit Cami Top,4.0,1363,7,2,12,2,32,9,79,22,1233,382,4,Casual,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
35,swvest07200921571,SHEIN Lettuce Trim Rib-knit Cami Top,4.0,1363,7,2,12,2,32,9,79,22,1233,382,4,Casual,White,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
36,swvest07201113555,SHEIN Lettuce Trim Rib-knit Cami Top,4.0,1363,7,2,12,2,32,9,79,22,1233,382,4,Casual,Burgundy,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
37,swvest07201118622,SHEIN Lettuce Trim Rib-knit Cami Top,4.0,1363,7,2,12,2,32,9,79,22,1233,382,4,Casual,Chocolate Brown,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
38,swvest07201118671,SHEIN Lettuce Trim Rib-knit Cami Top,2.99,1363,7,2,12,2,1363,417,79,22,1233,382,3,Casual,Light Grey,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
39,swblouse04201112062,Drop Shoulder Flap Pocket Plaid Blouse,11.0,9,0,0,0,0,0,0,1,0,0,0,13,Preppy,Red and White,Plaid,Long,Tunic,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
40,swskirt07201119327,SHEIN Fold Pleated Tartan Skirt,8.0,101,0,0,3,0,3,0,101,13,0,0,9,Preppy,Multicolor,Tartan,Mini,A Line,,,,,Zipper,Summer,100% Polyester,Polyester,Non-Stretch,No,,,High Waist,,,,,,,,,,
41,swblouse07201117217,SHEIN Flounce Sleeve Floral Top,5.49,12,0,0,0,0,0,0,0,0,0,0,6,Casual,Multicolor,Floral,Regular,Top,Stand Collar,Long Sleeve,Flounce Sleeve,Pullovers,"Ruffle, Button, Frill",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
42,swtee04200520112,Ditsy Floral Print Drawstring Top,8.99,3582,8,3,3582,983,0,0,236,68,3235,885,10,Casual,White,Ditsy Floral,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched",Summer,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
43,swblouse04201106676,Floral Print Button Front Blouse,8.49,17,0,0,0,0,0,0,0,0,18,1,10,Elegant,Black,Floral,Regular,Shirt,Collar,Long Sleeve,Bishop Sleeve,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
44,swtee07201118524,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,42,11,49,17,0,0,0,0,5342,2100,4,Casual,Dusty Pink,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
45,swtee07200815982,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,42,11,0,0,0,0,0,0,5342,2100,4,Casual,Redwood,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
46,swtee07200910668,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,0,0,49,17,0,0,201,79,5342,2100,4,Casual,Dark Grey,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
47,swtee07200915062,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,42,11,0,0,127,30,201,79,5342,2100,4,Casual,Apricot,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
48,swtee07200915476,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,42,11,49,17,0,0,201,79,5342,2100,4,Casual,Black,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
49,swtee07201009475,SHEIN Lettuce Edge Waffle Knit Tee,3.99,5761,42,11,49,17,127,30,0,0,5342,2100,4,Casual,Coffee Brown,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
50,swskirt07200612948,SHEIN Dragon and Floral Print Split Hem Skirt,6.0,2687,7,3,28,10,108,38,164,58,2382,991,7,Casual,Black,"Floral, Animal",Mini,Bodycon,,,,,"Split, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,Natural,,,,,,,,,,
51,swskirt07200518162,SHEIN Dragon Split Hem Mini Skirt,6.0,2687,7,3,0,0,108,38,0,0,2382,991,7,Sexy,Black,Animal,Mini,Bodycon,,,,,"Split, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,Natural,,,,,,,,,,
52,swvest07200708442,SHEIN Letter and Angel Print Rib-knit Tank Top,4.0,3884,0,0,0,0,77,16,193,56,3590,928,4,Casual,White,"Letter, Figure",Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
53,swvest07200819132,SHEIN Ribbed Angel Baby Graphic Tank Top,5.0,3884,10,0,14,1,77,16,0,0,0,0,6,Casual,Black,"Letter, Graphic",Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
54,swdress07200507806,SHEIN Car Graphic Drop Shoulder Oversized Tee,5.99,782,0,0,13,4,0,0,55,21,663,169,7,Casual,White,"Letter, Graphic",Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Oversized,,,,,,,,,,,,
55,swtop07200704957,SHEIN Scarf Print Tie Back Bandana Top,5.0,1247,0,0,6,4,9,5,36,12,1196,403,6,Boho,Multicolor,Scarf Print,Crop,,Strapless,Sleeveless,,Placket,"Asymmetrical, Backless, Tie Back",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,Asymmetrical,,,
56,swvest07200603643,SHEIN Dragon Graphic Cropped Cami Top,4.0,4227,7,0,8,3,0,0,201,81,3952,1608,4,Casual,Black,Animal,Crop,Cami,Spaghetti Strap,,,,,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
57,swvest07200721668,SHEIN Chinese Dragon Print Cami Top,4.0,4227,7,0,0,0,60,11,0,0,0,0,4,Casual,Black,Animal,Crop,Cami,Spaghetti Strap,,,,,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
58,swvest07201209846,SHEIN Dragon Graphic Cropped Cami Top,4.0,4227,7,0,8,3,0,0,0,0,3952,1608,4,Casual,"Pastel, Lilac Purple",Animal,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
59,swvest07201209517,SHEIN Dragon Graphic Cropped Cami Top,4.0,4227,0,0,8,3,60,11,0,0,4227,1703,4,Casual,White,Animal,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
60,swvest07201209309,SHEIN Dragon Graphic Cropped Cami Top,4.0,4227,7,0,0,0,60,11,201,81,3952,1608,4,Casual,Pink,Animal,Crop,Cami,Spaghetti Strap,,,,,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
61,swblouse07200601461,SHEIN Ditsy Floral Self-Tie Surplice Wrap Top,5.0,6040,53,12,94,14,221,59,330,131,5343,1938,6,Boho,Dark Green,"Plants, All Over Print",Crop,Top,V neck,Short Sleeve,Flounce Sleeve,Pullovers,"Ruffle, Knot, Wrap",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Yes,,,,
62,swblouse07200623768,SHEIN Surplice Neck Knot Side Allover Plant Print Top,5.0,6040,53,12,94,14,221,59,330,131,5343,1938,6,Boho,Redwood,"Plants, All Over Print",Crop,Top,V neck,Short Sleeve,Flounce Sleeve,Pullovers,"Ruffle, Knot, Wrap",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Yes,,,,
63,swblouse07200623187,SHEIN Surplice Neck Knot Side Allover Plant Print Top,5.0,6040,53,12,94,14,221,59,0,0,5343,1938,6,Boho,Baby Blue,"Plants, All Over Print",Crop,Top,V neck,Short Sleeve,Flounce Sleeve,Pullovers,"Ruffle, Knot, Wrap",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Yes,,,,
64,swskirt07200526875,SHEIN Ditsy Floral Slit Mini Skirt,6.0,1472,8,0,12,5,0,0,107,48,1285,537,7,Boho,"Pastel, Baby Blue",Ditsy Floral,Mini,A Line,,,,,"Split, Zipper",Summer,100% Polyester,Polyester,Non-Stretch,No,,,Natural,,,,,,,,,,
65,swpants04200918492,Zipper Fly Pocket Detail Cord Pants,15.0,20,1,0,0,0,0,0,0,0,19,2,18,Casual,Coffee Brown,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,
66,swdress07200806151,SHEIN Tie Shoulder High Split Hem Polka Dot Bustier Cami Dress,15.0,1933,6,5,11,5,50,22,111,46,1757,758,18,Boho,Black,Polka Dot,Midi,Cami,Spaghetti Strap,Sleeveless,,,"Knot, Zipper, Split Thigh",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,,Slit,,,
67,swdress07201126577,SHEIN Tie Shoulder High Split Hem Polka Dot Bustier Cami Dress,14.0,1933,6,5,0,0,50,22,111,46,1757,758,17,Boho,Dusty Pink,Polka Dot,Midi,Cami,Spaghetti Strap,Sleeveless,,,"Knot, Zipper, Split Thigh",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,,Slit,,,
68,swdress07201126511,SHEIN Tie Shoulder High Split Hem Polka Dot Bustier Cami Dress,14.0,1933,6,5,11,5,50,22,111,46,1757,758,17,Boho,Dusty Blue,Polka Dot,Midi,Cami,Spaghetti Strap,Sleeveless,,,"Knot, Zipper, Split Thigh, Shirred",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,,Slit,,,
69,swouter07201030524,SHEIN Open Front Paneled Fuzzy Coat,20.0,42,0,0,1,0,2,1,0,0,0,0,24,Elegant,Black,Plain,Short,Faux Fur,,Sleeveless,,,,Fall/Winter,100% Polyester,Faux Fur,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
70,swshorts07201130014,SHEIN Self Belted PU Shorts,14.0,24,0,0,0,0,1,0,4,1,17,1,17,Glamorous,Black,Plain,,Wide Leg,,,,,"Belted, Pocket, Paper Bag Waist",All,"10% Spandex, 40% Polyester, 50% PU Leather",PU Leather,Slight Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,Yes,,,,
71,swtee07201117012,SHEIN Letter Embroidery Contrast Stitch Asymmetrical Hem Two Tone Top,4.99,33,0,0,0,0,1,0,0,0,30,5,6,Casual,Multicolor,"Letter, Colorblock",Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Embroidery, Asymmetrical, Rib-Knit",Spring/Fall,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,Asymmetrical,,,
72,swsweatsh44201104585,Letter Embroidery Raglan Sleeve Teddy Hoodie,14.99,21,0,0,0,0,0,0,2,1,0,0,18,Casual,White,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Embroidery, Pocket",Fall/Winter,100% Polyester,Shearling,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
73,swsweatsh04201109105,Moon Print Colorblock Drawstring Hoodie,17.99,17,0,0,0,0,0,0,0,0,17,0,21,Casual,Black,"Colorblock, Graphic",Long,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Drawstring,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
74,swskirt23201123851,Tartan Houndstooth Flare Skirt,13.0,21,0,0,0,0,0,0,0,0,19,1,15,Preppy,Black and White,"Houndstooth, Tartan",Short,Flared,,,,,Zipper,Summer,100% Polyester,Polyester,Non-Stretch,No,,,High Waist,,,,,,,,,,
75,swpants04201110180,High Waist Button Fly Skinny Jeans,20.0,16,0,0,0,0,0,0,0,0,16,0,24,,Black,Plain,Long,Skinny,,,,,"Pocket, Button Front",,"2% Spandex, 85% Cotton, 13% Polyester",Denim,High Stretch,No,Skinny,Button Fly,High Waist,,,,,,,,,,
76,swpants04201117849,High Waist Flap Pocket Chain Detail Jeans,21.0,24,0,0,0,0,2,0,3,0,19,1,25,,Black,Plain,Long,"Straight Leg, Cargo Pants",,,,,"Button, Chain, Pocket, Zipper, Raw Wash",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
77,swpants04200511291,Dragon Graphic High-Rise Joggers,14.0,1164,22,4,24,1,81,8,126,30,911,200,17,Casual,Black,Animal,Long,Sweatpants,,,,,Pocket,Spring/Summer/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,Elastic Waist,Natural,,,,,,,,,,
