,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Hem Shaped,Placket,Arabian Clothing,Belt,Top Type
19,swjumpsui23200902296,Tie Dye Slant Pocket Cami Jumpsuit,15.0,1049,31,14,27,6,40,6,51,11,902,237,18,Boho,Blue and White,Tie Dye,Long,Cami,Spaghetti Strap,Sleeveless,,,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,,,,,,,,,,,,
20,swjumpsui23200924583,Tie Dye Slant Pocket Cami Jumpsuit,14.0,1049,31,14,27,6,40,6,51,11,902,237,17,Boho,Multicolor,Tie Dye,Long,Culottes,Spaghetti Strap,Sleeveless,,,Pocket,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,,,,,,,,,,,,
21,swtee04200807211,Sweetheart Neck Houndstooth Fitted Top,7.99,1279,12,4,19,4,49,13,68,19,1131,374,9,Elegant,Black and White,Houndstooth,Crop,,Sweetheart,Long Sleeve,Puff Sleeve,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,,,,,
22,swtee23201007211,Sweetheart Neck Houndstooth Tee,5.49,1279,12,4,19,4,49,13,68,19,1131,374,6,Elegant,Red and White,Houndstooth,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,,,,,
23,swouter07200828349,SHEIN Notched Collar Slant Pocket Coat,23.0,4995,35,11,45,10,164,36,275,90,4477,1229,27,Casual,Camel,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Pocket,Fall/Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
24,swouter07200727602,SHEIN Notched Collar Slant Pocket Coat,26.0,4995,35,11,45,10,164,36,275,90,4477,1229,31,Casual,Black,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Pocket,Fall/Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
25,swouter07200828364,SHEIN Notched Collar Slant Pocket Coat,26.0,4995,35,11,45,10,164,36,275,90,4477,1229,31,Casual,Baby Pink,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Pocket,Fall/Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
26,swouter07200828027,SHEIN Notch Collar Pocket Side Button Up Overcoat,26.0,4995,35,11,45,10,164,36,275,90,4477,1229,31,Casual,"Pastel, Mint Green",Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Button Front,Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,Yes,,,,,Single Breasted,,,
27,swouter07201024013,SHEIN Notched Collar Slant Pocket Coat,20.49,4995,35,11,45,10,164,36,275,90,4477,1229,24,Elegant,Rust Brown,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,"Pocket, Button Front",Fall/Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,Single Breasted,,,
28,swpants07200903636,SHEIN BASICS Drawstring Waist Solid Sweatpants,20.0,10000,0,0,0,0,0,0,0,0,9999,4203,24,,Apricot,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
29,swpants07200902886,SHEIN BASICS Drawstring Waist Solid Sweatpants,20.0,10000,0,0,0,0,0,0,0,0,9999,4203,24,,White,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
30,swpants07200903125,SHEIN BASICS Drawstring Waist Solid Sweatpants,18.0,10000,0,0,0,0,0,0,0,0,9999,4203,21,,Grey,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
31,swpants07200903030,SHEIN BASICS Drawstring Waist Solid Sweatpants,18.0,10000,0,0,0,0,0,0,0,0,9999,4203,21,,Army Green,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
32,swpants07200903186,SHEIN BASICS Drawstring Waist Solid Sweatpants,18.0,10000,0,0,0,0,0,0,0,0,9999,4203,21,,Black,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
33,swpants07201027671,SHEIN Drawstring Waist Solid Sweatpants,18.0,10000,0,0,0,0,0,0,0,0,9999,4203,21,,Blue,Plain,Long,,,,,,"Pocket, Drawstring",All,"11% Polyester, 89% Cotton",Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
34,swskirt07201024787,SHEIN Split Hem Leather Look Pencil Skirt,9.0,227,7,2,9,1,11,1,13,2,0,0,10,Elegant,Black,Plain,Midi,Pencil,,,,,Split,Fall/Winter,"10% Spandex, 90% Polyester",Polyester,Non-Stretch,No,,,High Waist,,,,,,,,,,
35,swvest07200829022,SHEIN Ruched Bust Lettuce Trim Seam Front Colorblock Cami Top,5.0,1327,18,1,25,8,73,17,136,31,1075,270,6,Casual,Multicolor,Colorblock,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Ruched Bust",Summer,"6% Spandex, 94% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
36,swvest07201207145,SHEIN Ruched Bust Lettuce Trim Seam Front Colorblock Cami Top,4.0,1327,18,1,25,8,73,17,136,31,1075,270,4,Casual,Multicolor,"Colorblock, Marble",Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Ruched Bust",Summer,"6% Spandex, 94% Polyester",Mesh,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
37,swouter07200925035,SHEIN Double Button Buffalo Plaid Teddy Coat,20.0,118,1,0,0,0,3,2,5,1,111,19,24,Preppy,Multicolor,Gingham,Short,Teddy,Lapel,Long Sleeve,Drop Shoulder,,Double Button,Winter,100% Polyester,Shearling,Slight Stretch,No,Regular Fit,,,,,,,,,Double Breasted,,,
38,swsweatsh07200828797,SHEIN Rainbow Tape Drop Shoulder Oversized Pullover,9.99,422,2,0,422,138,7,3,21,4,422,138,12,Casual,Black,Rainbow Stripe,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Tape,Spring/Fall,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
39,swdress07191029973,SHEIN Surplice Neck Crisscross Back Split Thigh Dress,16.0,10000,0,0,0,0,0,0,0,0,9999,2818,19,"Glamorous, Sexy",Burgundy,Plain,Maxi,Cami,"Deep V Neck, Spaghetti Strap",Sleeveless,,,"Backless, Criss Cross, Zipper, Split Thigh",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Slit,,,,
40,swdress07190711761,SHEIN Surplice Neck Crisscross Back Split Thigh Dress,18.0,10000,0,0,0,0,0,0,0,0,9999,2818,21,"Glamorous, Sexy",Black,Plain,Maxi,Cami,"Deep V Neck, Spaghetti Strap",Sleeveless,,,"Backless, Criss Cross, Split Thigh",Summer,100% Polyester,Polyester,Non-Stretch,,Regular Fit,,High Waist,,,,,,Slit,,,,
41,swdress07191207629,SHEIN Crisscross Backless Wrap Hem Maxi Dress,18.0,10005,0,0,0,0,0,0,0,0,5,2823,21,"Glamorous, Sexy",Navy Blue,Plain,Maxi,Cami,Spaghetti Strap,Sleeveless,,,"Wrap, Backless, Criss Cross, Zipper",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Wrap,,,,
42,swdress07191210761,SHEIN Crisscross Open Back High Split Halter Dress,17.0,10000,0,0,0,0,0,0,0,0,9999,2818,20,Sexy,"Pink, Pastel",Plain,Maxi,Cami,Halter,Sleeveless,,,"Backless, Criss Cross, Zipper, Split Thigh",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,Yes,,,,Slit,,,,
43,swblouse23200910491,Mock Neck Dalmatian Print Blouse,12.0,604,4,1,9,0,13,5,28,7,551,127,14,Elegant,Mocha Brown,All Over Print,Regular,Top,Stand Collar,Long Sleeve,Bishop Sleeve,Pullovers,,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
44,swblouse23201118496,Mock Neck Dalmatian Print Blouse,5.0,604,4,1,9,0,0,0,28,7,551,127,6,Elegant,Black and White,All Over Print,Regular,Top,Stand Collar,Long Sleeve,Puff Sleeve,Pullovers,Zipper,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
45,swjacket04200302900,Letter & Plants Graphic Trucker Denim Jacket,26.0,2820,6,0,14,1,46,9,122,37,2636,675,31,Casual,Grey,"Letter, Plants",Regular,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,,,,,,,,,Single Breasted,,,
46,swjacket04200420508,Slogan & Plants Graphic Trucker Denim Jacket,26.0,2820,6,0,14,1,46,9,122,37,2636,675,31,Casual,White,"Plants, Slogan",Regular,Other,Collar,Long Sleeve,Regular Sleeve,,"Pocket, Button Front",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,,,,,,,,,Single Breasted,,,
47,swtee07201223245,SHEIN Leopard Panel Colorblock Ribbed Tee,4.99,26,0,0,0,0,0,0,0,0,26,0,6,Casual,Multicolor,"Colorblock, Leopard",Regular,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
48,swsweatsh23201215332,Graphic Embroidery Drop Shoulder Sweatshirt,14.99,2251,15,1,23,5,81,18,219,38,1913,406,18,Casual,Mint Green,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
49,swsweatsh23200714121,Sun Embroidery Front Drop Shoulder Sweatshirt,14.99,2251,15,1,23,5,81,18,219,38,1913,406,18,Casual,"Pastel, Lilac Purple",Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
50,swsweatsh23200818098,Sun Embroidery Drop Shoulder Oversized Sweatshirt,14.99,2251,15,1,23,5,81,18,0,0,1913,406,18,Casual,White,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
51,swsweatsh23200818511,Embroidered Sun Graphic Oversized Sweatshirt,14.0,2251,15,1,23,5,81,18,219,38,1913,406,17,Casual,Black,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
52,swsweatsh23200828179,Sun Embroidery Drop Shoulder Oversized Sweatshirt,14.99,2251,15,1,23,5,81,18,219,38,1913,406,18,Casual,Cadet Blue,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
53,swsweatsh23201203574,Sun Embroidery Front Drop Shoulder Sweatshirt,14.99,2251,0,0,23,5,81,18,219,38,1913,406,18,Casual,Baby Blue,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
54,swskirt07200806549,SHEIN Zipper Side Striped Tape Detail Pleated Skirt,14.0,2259,13,2,0,0,0,0,0,0,0,0,17,Casual,Black,Striped,Mini,Pleated,,,,,"Pleated, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
55,swskirt07200618720,SHEIN Striped Hem Pleated Skirt,14.0,2259,13,2,15,3,53,14,116,31,2065,630,17,Preppy,White,Striped,Mini,Pleated,,,,,"Pleated, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
56,swskirt07201017487,SHEIN Striped Hem Pleated Skirt,7.49,2259,13,2,15,3,53,14,116,31,2065,630,9,Preppy,Camel,Striped,Mini,Pleated,,,,,"Pleated, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
57,swskirt07201215690,SHEIN Striped Hem Pleated Skirt,14.0,2259,13,2,15,3,2259,679,116,31,2065,630,17,Preppy,Dusty Pink,Striped,Mini,Pleated,,,,,"Pleated, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
58,swdress07201116756,SHEIN Square Neck Floral Embroidery Dress Without Belt,26.0,1,0,0,0,0,0,0,0,0,1,0,31,"Modest, Boho",White,Ditsy Floral,Long,A Line,Square Neck,Three Quarter Length Sleeve,Flounce Sleeve,,"Ruffle, Ruffle Hem",Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Flounce,,Yes,No,
59,swskirt07200925882,SHEIN Split Thigh Ditsy Floral Skirt,9.0,1033,4,0,4,1,0,0,44,20,957,363,10,Boho,Black and White,Ditsy Floral,Midi,Slit,,,,,"Drawstring, Ruched, Zipper, Split Thigh",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,,,High Waist,,,,,,,,,,
60,swskirt07201111711,SHEIN Split Thigh Ditsy Floral Skirt,8.0,1033,4,0,4,1,24,5,44,20,957,363,9,Boho,Red,Ditsy Floral,Midi,Slit,,,,,"Drawstring, Ruched, Zipper, Split Thigh",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,,,High Waist,,,,,,,,,,
61,swtee23201106858,Color Block Batwing Sleeve Tee,8.99,0,0,0,0,0,0,0,0,0,0,0,10,Casual,Multicolor,Colorblock,Regular,,Round Neck,Short Sleeve,Batwing Sleeve,Pullovers,,Summer,"5% Spandex, 35% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
62,swtwop07200915836,SHEIN Drop Shoulder Teddy Pullover & Pants Set,18.0,172,1,0,2,1,5,1,7,2,0,0,21,Casual,Mocha Brown,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Fall/Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,Pants,,,,,Sweatshirt
63,swouter01200923677,Lapel Neck Single Button Overcoat,25.0,2849,42,13,63,24,154,51,157,57,2433,659,30,Casual,Black,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Button,Fall/Winter,"65% Cotton, 35% Polyester",Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,,Single Button,,,
64,swouter01200813927,Lapel Neck Single Button Overcoat,25.0,2849,42,13,63,24,154,51,157,57,2433,659,30,Casual,Baby Blue,Plain,Short,Overcoat,Lapel,Long Sleeve,Regular Sleeve,,Button,Fall/Winter,"65% Cotton, 35% Polyester",Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,,Single Button,,,
65,swouter01201016384,Lapel Neck Double Button Overcoat,25.0,2849,42,13,63,24,154,51,157,57,2433,659,30,Casual,Red,Plain,Knee Length,Pea Coat,Lapel,Long Sleeve,Regular Sleeve,,"Double Button, Pocket",Fall/Winter,"65% Cotton, 35% Polyester",Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,,Double Breasted,,,
66,swouter01201016182,Lapel Neck Double Button Overcoat,12.0,2849,42,13,63,24,154,51,157,57,2433,659,14,Casual,Green,Plain,Knee Length,Pea Coat,Lapel,Long Sleeve,Regular Sleeve,,"Double Button, Pocket",Fall/Winter,"65% Cotton, 35% Polyester",Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,,Double Breasted,,,
67,swdress07200831111,SHEIN Lace Trim Leopard Dress,8.0,1348,2,1,5,0,30,7,69,18,1243,292,9,Elegant,Multicolor,Leopard,Short,Bodycon,Spaghetti Strap,Sleeveless,,,Contrast Lace,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,Pencil,,,,
68,swskirt07200926484,SHEIN Button Front Suede Skirt,6.49,3,0,0,0,0,0,0,0,0,3,0,7,Casual,Coral Orange,Plain,Mini,Straight,,,,,"Pocket, Button Front",Fall/Winter,"5% Spandex, 95% Polyester",Suede,Non-Stretch,No,,,High Waist,,,,,,,,,,
69,swsweatsh24201226379,Kangaroo Pocket Drawstring Hoodie,8.99,218,0,0,2,0,14,0,12,0,189,1,10,Casual,Light Grey,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,Pocket,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
70,swsweatsh24201226298,Kangaroo Pocket Drawstring Hoodie,8.99,218,0,0,2,0,14,0,12,0,189,1,10,Casual,Violet Purple,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
71,swsweatsh24201226742,Kangaroo Pocket Drawstring Hoodie,8.99,218,0,0,2,0,14,0,12,0,189,1,10,Casual,Baby Pink,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
72,swsweatsh24201226592,Kangaroo Pocket Drawstring Hoodie,8.99,218,0,0,2,0,14,0,12,0,189,1,10,Casual,White,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
73,swsweatsh24201226999,Kangaroo Pocket Drawstring Hoodie,8.99,218,0,0,2,0,14,0,12,0,189,1,10,Casual,Black,Plain,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Pocket,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
74,swsweatsh04201217684,Drop Shoulder Letter Graphic Thermal Pullover,10.0,87,0,0,0,0,2,0,3,2,82,17,12,Casual,Brown,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
75,swsweatsh04201217019,Drop Shoulder Letter Graphic Thermal Pullover,10.0,87,0,0,0,0,2,0,3,2,82,17,12,Casual,Light Grey,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
76,swsweatsh04201217410,Drop Shoulder Letter Graphic Thermal Pullover,10.0,87,0,0,87,19,2,0,3,2,82,17,12,Casual,Burgundy,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
77,swsweatsh04201217691,Drop Shoulder Letter Graphic Thermal Pullover,12.99,87,0,0,0,0,2,0,3,2,82,17,15,Casual,Navy Blue,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
