,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Belt,Top Type,Placket
10,swsweatsh04200901368,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,Coffee Brown,Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Zipper",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Zip Up Drawstring Hoodie,14.99,,,,
11,swsweatsh04200806144,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,Light Grey,Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Zipper",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Heathered Knit Zip-Up Drawstring Hoodie,14.99,,,,
12,swsweatsh04200901626,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,Black,Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket, Zipper",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Zip Up Drawstring Hoodie,14.99,,,,
13,swsweatsh04200903676,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,"Pastel, Mint Green",Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Zipper",Spring,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Zip Up Drawstring Hoodie,14.99,,,,
14,swsweatsh04201105791,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,Dark Grey,Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket, Zipper",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Zip Up Thermal Drawstring Hoodie,14.99,,,,
15,swsweatsh04201105155,,10000,0,0,0,0,0,0,0,0,9999,1988,18,Casual,Dark Grey,Plain,Regular,Zip Up,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket, Zipper",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Zip Up Drawstring Hoodie,14.99,,,,
16,swtee00201209162,,3,0,0,0,0,0,0,0,0,3,0,7,Casual,Multicolor,Graphic,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Graphic Print Crop Slim Tee,5.99,,,,
17,swpants01201217292,,277,2,0,5,0,11,0,19,2,241,21,15,,Light Grey,Plain,Long,,,,,,Pocket,All,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Elastic Waist Solid Sweatpants,13.0,,,,
18,swpants01201120291,,277,2,0,5,0,11,0,19,2,241,21,15,,Black,Plain,Long,,,,,,,All,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Elastic Waist Solid Sweatpants,13.0,,,,
19,swpants01201217065,,277,2,0,5,0,11,0,19,2,241,21,15,,Lilac Purple,Plain,Long,,,,,,Pocket,All,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Elastic Waist Solid Sweatpants,13.0,,,,
20,swvest23210101786,,2535,6,0,11,0,29,1,117,14,2373,230,6,Casual,Baby Blue,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Mock Neck Rib-knit Tank Top,5.0,,,,
21,swvest44201120546,,2535,6,0,11,0,29,1,117,14,2373,230,7,Casual,Mocha Brown,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"3% Spandex, 97% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,Mock Neck Rib-knit Tank Top,6.0,,,,
22,swvest23201127516,,2535,6,0,11,0,29,1,117,14,2373,230,6,Casual,Apricot,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Mock Neck Rib-knit Tank Top Without Necklace,5.0,,,,
23,swvest23201215625,,2535,6,0,11,0,29,1,117,14,2373,230,6,Casual,White,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Mock Neck Rib-knit Tank Top Without Necklace,5.0,,,,
24,swvest23201215605,,2535,6,0,11,0,29,1,117,14,2373,230,6,Casual,Black,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Mock Neck Rib-knit Tank Top Without Necklace,5.0,,,,
25,swvest23201216458,,2535,6,0,11,0,29,1,117,14,2373,230,6,Casual,Navy Blue,Plain,Crop,Tank,Stand Collar,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Mock Neck Solid Tank Top,5.0,,,,
26,swpants04201205363,,1937,25,3,36,7,65,12,159,24,1652,257,25,,Medium Wash,Plain,Long,Boyfriend Fit,,,,,"Ripped, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Ripped Boyfriend Jeans,21.0,,,,
27,swpants04200909104,,1937,25,3,36,7,65,12,159,24,1937,301,25,,Medium Wash,Plain,Long,Boyfriend Fit,,,,,"Ripped, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Ripped Boyfriend Jeans,21.0,,,,
28,swpants04201127960,,1937,25,3,36,7,65,12,159,24,1652,257,24,,Medium Wash,Plain,Long,Straight Leg,,,,,"Ripped, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Ripped Boyfriend Jeans,20.0,,,,
29,swtee07201230346,,0,0,0,0,0,0,0,0,0,0,0,4,Casual,Chocolate Brown,Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,"Rib-Knit, Button Front",Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Front Rib-knit Tee,3.99,,,,
30,swtee44201202570,,3,0,0,0,0,0,0,0,0,3,0,6,Casual,White,Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Drawstring, Lettuce Trim",Summer,"30% Rayon, 10% Spandex, 60% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,Drawstring Front V-neck Crop Tee,4.99,,,,
31,swsweatsh24201226981,,26,0,0,0,0,0,0,1,0,25,0,7,Casual,White,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Drop Shoulder Sweatshirt,5.99,,,,
32,swsweatsh24201226332,,26,0,0,0,0,0,0,1,0,25,0,7,Casual,Violet Purple,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Drop Shoulder Sweatshirt,5.99,,,,
33,swsweatsh24201226315,,26,0,0,0,0,0,0,1,0,25,0,7,Casual,Black,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Drop Shoulder Sweatshirt,5.99,,,,
34,swsweatsh24201226489,,26,0,0,0,0,0,0,1,0,25,0,7,Casual,Coral Pink,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Drop Shoulder Sweatshirt,5.99,,,,
35,swsweatsh04201228494,,60,1,0,0,0,4,0,6,2,49,2,15,Casual,Blue,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,100% Polyester,Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Letter Graphic Oversized Pullover,12.99,,,,
36,swsweatsh04201107135,,60,1,0,0,0,4,0,6,2,49,2,15,Casual,Baby Blue,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,100% Polyester,Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Letter Graphic Oversized Pullover,12.99,,,,
37,swsweatsh04201228866,,60,1,0,0,0,4,0,6,2,49,2,15,Casual,White,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Letter Graphic Oversized Pullover,12.99,,,,
38,swsweatsh04201228930,,60,1,0,0,0,4,0,6,2,49,2,15,Casual,Light Grey,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Letter Graphic Oversized Pullover,12.99,,,,
39,swtee07201224202,,283,0,0,2,0,10,3,27,3,244,22,4,Casual,Multicolor,Colorblock,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,"Asymmetrical, Rib-Knit",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Stitch Colorblock Asymmetrical Top,3.99,Asymmetrical,,,
40,swtee07201205454,,283,0,0,2,0,10,3,27,3,244,22,4,Casual,Multicolor,Colorblock,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,"Asymmetrical, Rib-Knit",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Stitch Colorblock Asymmetrical Top,3.99,Asymmetrical,,,
41,swtee07201224686,,283,0,0,2,0,10,3,27,3,244,22,4,Casual,Multicolor,Colorblock,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,"Asymmetrical, Rib-Knit",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Stitch Colorblock Asymmetrical Top,3.99,Asymmetrical,,,
42,swtee07201218128,,29,0,0,0,0,1,0,2,0,26,0,4,Casual,Blue and White,Ditsy Floral,Crop,,V neck,Cap Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Ditsy Floral Top,3.99,,,,
43,swpants04201022355,,15,0,0,0,0,0,0,2,0,13,0,23,,Black,Plain,Cropped,Straight Leg,,,,,"Ripped, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Ripped Straight Leg Jeans,19.0,,,,
44,swsweatsh04201217848,,63,0,0,0,0,2,0,2,2,60,17,12,Casual,Black,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,10.0,,,,
45,swsweatsh04201217019,,63,0,0,0,0,2,0,2,2,60,17,12,Casual,Light Grey,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,10.0,,,,
46,swsweatsh04201217410,,63,0,0,0,0,2,0,2,2,60,17,12,Casual,Burgundy,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,10.0,,,,
47,swsweatsh04201217691,,63,0,0,0,0,2,0,2,2,60,17,15,Casual,Navy Blue,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,12.99,,,,
48,swsweatsh04201217684,,63,0,0,0,0,2,0,2,2,60,17,12,Casual,Brown,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,10.0,,,,
49,swsweatsh04201217763,,63,0,0,0,0,2,0,2,2,60,17,12,Casual,Dusty Pink,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Pullover,10.0,,,,
50,swtee07201225022,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Elegant,Army Green,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Surplice Neck Rib-knit Crop Tee,5.99,,,,
51,swtee07200917381,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Elegant,Coffee Brown,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"27.7% Rayon, 7.5% Spandex, 64.8% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Surplice Neck Rib-knit Crop Tee,5.99,,,,
52,swtee07201020440,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Casual,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Rib-knit Crop Tee,5.99,,,,
53,swtee07201020900,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Sexy,White,Plain,Crop,,Deep V Neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"27.7% Rayon, 7.5% Spandex, 64.8% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Surplice Neck Rib-knit Crop Tee,5.99,,,,
54,swtee07201021554,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Casual,Maroon,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Surplice Neck Rib-knit Crop Tee,5.99,,,,
55,swtee07201106764,,10000,0,0,0,0,0,0,0,0,9999,3181,7,Sexy,Mustard Yellow,Plain,Crop,,Deep V Neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Surplice Neck Rib-knit Crop Tee,5.99,,,,
56,swtee07201224602,,695,1,0,1,1,6,2,21,2,666,78,4,Casual,Multicolor,"Colorblock, Zebra Stripe",Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Zebra Striped Print Seam Front Colorblock Tee,3.99,,,,
57,swtee07201202984,,695,1,0,1,1,6,2,21,2,666,78,4,Casual,Multicolor,"Colorblock, Zebra Stripe",Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Zebra Striped Print Seam Front Colorblock Tee,3.99,,,,
58,swvest07201231020,,0,0,0,0,0,0,0,0,0,0,0,3,Casual,Black and White,Animal,Crop,Cami,Spaghetti Strap,,,,Asymmetrical,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Cow Print Bandana Cami Top,3.0,Asymmetrical,,,
59,swvest07201231791,,1,0,0,0,0,0,0,0,0,1,0,6,Casual,Black and White,Zebra Stripe,Crop,Cami,Spaghetti Strap,,,,"Contrast Lace, Lettuce Trim",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Trim Zebra Striped Cami Top,5.0,,,,
60,swsweatsh04201209507,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,Black,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
61,swsweatsh04200909080,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,"Pastel, Coral Pink",Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
62,swsweatsh04201209815,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,Navy Blue,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
63,swsweatsh04201209064,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,Burgundy,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
64,swsweatsh04201209042,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,Cadet Blue,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
65,swsweatsh04201209088,,276,2,0,3,1,9,0,16,1,247,34,12,Casual,Army Green,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Solid Pullover,9.99,,,,
66,swpants04201224668,,172,2,0,0,0,8,2,21,2,141,22,17,Casual,Black,Plain,Long,Sweatpants,,,,,Pocket,All,"80% Cotton, 20% Polyester",Cotton,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Pocket Detail Sweatpants,14.0,,,,
67,swpants04201105175,,175,2,0,0,0,8,2,21,2,3,25,17,Casual,Coffee Brown,Plain,Long,Sweatpants,,,,,Pocket,All,"80% Cotton, 20% Polyester",Cotton,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Pocket Detail Straight Leg Pants,14.0,,,,
68,swsweatsh04201222290,,1484,6,1,7,2,42,5,98,21,1331,307,15,Casual,Chocolate Brown,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Thermal Sweatshirt,12.99,,,,
69,swsweatsh04201026250,,1484,6,1,7,2,42,5,98,21,1331,307,15,Casual,Brown,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Sweatshirt,12.99,,,,
70,swsweatsh04201026626,,1484,6,1,7,2,42,5,98,21,1331,307,15,Casual,Green,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Sweatshirt,12.99,,,,
71,swsweatsh04201026316,,1484,6,1,7,2,42,5,98,21,1331,307,15,Casual,Maroon,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Sweatshirt,12.99,,,,
72,swsweatsh04201026125,,1484,6,1,7,2,42,5,98,21,1331,307,18,Casual,Grey,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Sweatshirt,14.99,,,,
73,swsweatsh04201123591,,1484,6,1,7,2,42,5,98,21,1331,307,15,Casual,Dusty Pink,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Butterfly & Letter Embroidered Drop Shoulder Sweatshirt,12.99,,,,
74,swleg03201024097,,455,16,1,11,2,35,5,43,2,350,25,10,Sporty,Black,Plain,Cropped,Regular,,,,,,All,"97% Polyester, 3% Spandex",Polyester,Slight Stretch,No,,,,,,,,,Solid Wideband Waist Leggings,9.0,,,,
75,swvest04201014324,,52,0,0,0,0,0,0,1,0,51,0,7,Elegant,Baby Blue,Geometric,Crop,Tank,Scoop Neck,,,,Rib-Knit,Spring,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,Argyle Print Rib-knit Tank Crop Top,6.0,,,,
76,swpants04201218740,,674,3,0,6,0,11,0,59,10,592,38,20,Elegant,Black,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"5% Spandex, 95% Polyester",Corduroy,Slight Stretch,No,Loose,Zipper Fly,High Waist,,,,,,High Waist Cord Wide Leg Pants,17.0,,,,
77,swpants04201029271,,674,3,0,6,0,11,0,59,10,592,38,20,Elegant,Coffee Brown,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"5% Spandex, 95% Polyester",Corduroy,Slight Stretch,No,Loose,Zipper Fly,High Waist,,,,,,High Waist Cord Wide Leg Pants,17.0,,,,
78,swpants04201218543,,674,3,0,6,0,11,0,59,10,592,38,20,Elegant,Beige,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"5% Spandex, 95% Polyester",Corduroy,Slight Stretch,No,Loose,Zipper Fly,High Waist,,,,,,High Waist Cord Wide Leg Pants,17.0,,,,
