,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Placket,Hem Shaped,Top Type,Belt,Arabian Clothing,Care Instructions
10,swvest07200911286,SHEIN Frill Trim Ruched Front Rib-knit Cami Top,4.0,10000,0,0,0,0,0,0,164,160,9836,3085,4,Casual,Light Grey,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
11,swvest07201009469,SHEIN Frill Trim Ruched Front Rib-knit Cami Top,5.0,10000,0,0,0,0,0,0,164,160,9836,3085,6,Elegant,Coral Pink,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
12,swvest07201009282,SHEIN Ruched Bust Lettuce Trim Cami Top,4.0,10000,0,0,0,0,0,0,164,160,9836,3085,4,Casual,Khaki,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
13,swvest07200910306,SHEIN Binding Detail Satin Bustier Cami Top With Chain Strap,9.0,1332,23,3,42,10,86,19,75,19,1106,270,10,Glamorous,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Contrast Binding",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
14,swvest07201015284,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,1332,23,3,42,10,86,19,75,19,1106,270,10,Glamorous,White,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
15,swvest07201015126,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,1332,23,3,42,10,1332,19,75,19,1106,270,10,Glamorous,Brown,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
16,swvest07201127252,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,1332,23,3,42,10,86,19,75,19,1106,270,10,Elegant,Teal Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
17,swvest07201127009,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,1332,23,3,42,10,86,19,75,19,1106,270,10,Elegant,Red Violet,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
18,swvest07201127633,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,1332,23,3,42,10,86,19,75,19,1106,270,10,Elegant,Royal Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
19,swouter07200916987,SHEIN Puffer Coat,41.0,305,10,3,5,1,15,0,16,1,259,44,49,Casual,Black,,Short,Puffer,Hooded,Long Sleeve,Regular Sleeve,,"Contrast Faux Fur, Pocket, Zipper",Winter,100% Nylon,Nylon,Non-Stretch,No,Regular Fit,,,,Yes,,,,Zipper,,,,,
20,swdress07201111599,SHEIN Ruched Mesh Sleeve Solid Bodycon Dress,12.0,406,1,0,6,1,12,2,30,4,357,93,14,Elegant,Maroon,Plain,Short,Bodycon,Sweetheart,Long Sleeve,Regular Sleeve,,"Sheer, Contrast Mesh, Ruched",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
21,swdress07200910988,SHEIN Ruched Mesh Sleeve Solid Bodycon Dress,12.0,406,1,0,0,0,406,100,30,4,357,93,14,Elegant,Black,Plain,Short,Bodycon,Sweetheart,Long Sleeve,Regular Sleeve,,"Sheer, Contrast Mesh, Ruched",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
22,swdress07201111140,SHEIN Ruched Mesh Sleeve Solid Bodycon Dress,7.49,406,1,0,0,0,12,2,30,4,357,93,9,Elegant,Camel,Plain,Short,Bodycon,Sweetheart,Long Sleeve,Regular Sleeve,,"Sheer, Contrast Mesh, Ruched",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
23,swvest07200511532,SHEIN Satin Lace-Up Cropped Cami Top,5.0,10000,0,0,0,0,0,0,0,0,9999,9956,6,Sexy,Dusty Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Lace Up, Backless, Tie Back",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
24,swtop07190709405,SHEIN Satin Lace-Up Open-Back Cami Top,6.0,10000,0,0,0,0,0,0,0,0,9999,9956,7,"Glamorous, Sexy",Black,Plain,Regular,Cami,Halter,,,,"Lace Up, Tie Back",Summer,"5% Spandex, 95% Polyester",Satin,High Stretch,,Slim Fit,,,,,,,,,,,,,
25,swvest07190820393,SHEIN Satin Lace-Up Open-Back Cami Top,6.0,10000,0,0,0,0,0,0,0,0,9999,9956,7,Sexy,Burgundy,Plain,Crop,Cami,Halter,,,,"Criss Cross, Lace Up, Backless",Summer,"5% Spandex, 95% Polyester",Satin,High Stretch,,Slim Fit,,,,,,,,,,,,,
26,swvest07190820541,SHEIN Satin Lace-Up Open-Back Cami Top,5.0,10000,0,0,0,0,0,0,0,0,9999,9956,6,"Glamorous, Sexy",Navy Blue,Plain,Regular,Cami,Spaghetti Strap,,,,"Lace Up, Backless",Summer,"5% Spandex, 95% Polyester",Satin,High Stretch,,Regular Fit,,,,,,,,,,,,,
27,swvest07190929522,SHEIN Satin Lace-Up Open-Back Cami Top,5.0,10000,0,0,0,0,0,0,0,0,9999,9956,6,"Glamorous, Sexy",Green,Plain,Regular,Cami,Spaghetti Strap,,,,"Criss Cross, Backless, Tie Back",Summer,"5% Spandex, 95% Polyester",Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
28,swvest07190930678,SHEIN Satin Lace-Up Open-Back Cami Top,5.0,10000,0,0,0,0,0,0,0,0,9999,9956,6,Sexy,Khaki,Plain,Regular,Cami,Spaghetti Strap,,,,"Lace Up, Backless",Summer,"5% Spandex, 95% Polyester",Satin,High Stretch,No,Regular Fit,,,,,,,,,,,,,
29,swpants07200916536,SHEIN Slant Pocket PU Leather Straight Leg Pants,20.0,609,24,5,24,1,39,8,55,12,609,110,24,Glamorous,Black,Plain,Cropped,Straight Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"60% Polyester, 40% PU Leather",PU Leather,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
30,swpants07201111197,SHEIN Slant Pocket PU Leather Pants,14.0,609,24,5,24,1,39,8,55,12,0,0,17,Glamorous,Brown,Plain,Cropped,Straight Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"60% Polyester, 40% PU Leather",PU Leather,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
31,swdress07200710031,SHEIN Split Hem Form Fitted Slip Dress,7.0,10000,0,0,0,0,0,0,118,118,9882,4215,8,Casual,Black,Plain,Short,Bodycon,Spaghetti Strap,,,,"Split, Zipper",Summer,100% Polyester,Polyester,Non-Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
32,swdress07200430784,SHEIN Split Hem Slip Dress,7.0,10000,9999,4334,0,0,0,0,118,118,9882,4215,8,Elegant,Green,Plain,Short,Cami,Spaghetti Strap,,,,"Split, Zipper",Summer,100% Polyester,Polyester,Non-Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
33,swdress07200724732,SHEIN Cut Out Drawstring Knot Front Ditsy Floral Slip Dress,12.0,3868,47,5,45,7,108,17,0,0,3505,986,14,Boho,Multicolor,Ditsy Floral,Short,Bodycon,Spaghetti Strap,,,,"Cut Out, Drawstring, Knot",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
34,swdress07200511930,SHEIN Ditsy Floral Ruched Bodycon Dress,12.0,3868,47,5,45,7,108,17,163,25,3505,986,14,Casual,Mint Green,Ditsy Floral,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Ruched, Cut Out, Drawstring",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
35,swpants04200828561,High Waist Raw Hem Straight Jeans,20.0,243,6,2,5,1,14,2,30,2,188,40,24,,"Light Wash, Navy Blue",Plain,Long,Straight Leg,,,,,"Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
36,swpants04201203110,High Waist Raw Hem Straight Jeans,21.0,243,6,2,5,1,14,2,30,2,188,40,25,,Light Wash,Plain,Long,Straight Leg,,,,,"Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
37,swpants04201203472,High Waist Raw Hem Straight Jeans,21.0,243,6,2,5,1,0,0,30,2,188,40,25,,Dark Wash,Plain,Long,Straight Leg,,,,,"Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
38,swouter07200810766,SHEIN Flap Pocket Front Drop Shoulder PU Leather Coat,23.0,1888,21,9,16,3,69,12,147,29,1637,334,27,Casual,Black,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,,,,,Single Breasted,,,,,
39,swouter07200910255,SHEIN Flap Pocket Front Drop Shoulder PU Leather Coat,23.0,1899,0,0,16,3,0,0,1,30,1898,397,27,Casual,Khaki,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,,,,,Single Breasted,,,,,
40,swouter07201102791,SHEIN Flap Pocket Front Drop Shoulder PU Leather Coat,21.0,1888,21,9,0,0,69,12,147,29,1637,334,25,Casual,Coffee Brown,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,,,,,Single Breasted,,,,,
41,swvest07201019518,SHEIN Bustier Chain Straps Satin Cami Top,13.0,26,0,0,1,0,2,1,1,0,0,0,15,Glamorous,Dark Green,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,"8% Spandex, 92% Polyester",Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
42,swvest07201208366,SHEIN Bustier Chain Straps Satin Cami Top,13.0,26,0,0,1,0,2,1,1,0,23,7,15,Glamorous,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,"8% Spandex, 92% Polyester",Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,,
43,swouter07200924662,SHEIN Notch Collar Flap Detail Split Hem Overcoat,27.0,220,9,2,9,3,12,2,20,2,172,35,32,Casual,Beige,Plain,Midi,Overcoat,Notched,Long Sleeve,Drop Shoulder,,"Pocket, Split, Button Front",Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Double Breasted,,,,,
44,swouter07201118076,SHEIN Notch Collar Flap Detail Split Hem Overcoat,27.0,220,9,2,9,3,12,2,20,2,172,35,32,Casual,Black,Plain,Midi,Pea Coat,Notched,Long Sleeve,Drop Shoulder,,"Pocket, Split, Button Front",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Double Breasted,,,,,
45,swouter07201118579,SHEIN Notch Collar Flap Detail Split Hem Overcoat,26.0,220,9,2,9,3,12,2,20,2,172,35,31,Casual,Dusty Pink,Plain,Midi,Pea Coat,Notched,Long Sleeve,Drop Shoulder,,"Double Button, Pocket, Split",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Double Breasted,,,,,
46,swtwop07200915479,SHEIN Drop Shoulder Teddy Crop Pullover & Joggers Set,16.0,3692,41,5,53,11,168,45,264,84,3692,1004,19,Casual,Black,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,Pants,,,Sweatshirt,,,
47,swtwop07200722211,SHEIN Cropped Pullover & High-Rise Joggers Teddy Set,16.0,3692,41,5,53,11,168,45,264,84,3166,859,19,Casual,Mocha Brown,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Flannel,Non-Stretch,No,Regular Fit,,,,,,,Sweatpants,,,Sweatshirt,,,
48,swtwop07201019640,SHEIN Drop Shoulder Teddy Crop Pullover & Joggers Set,17.0,3692,41,5,53,11,168,45,264,84,3166,859,20,Casual,Chocolate Brown,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Flannel,Non-Stretch,No,Regular Fit,,,,,,,Pants,,,Sweatshirt,,,
49,swtwop07201019379,SHEIN Drop Shoulder Teddy Crop Pullover & Joggers Set,17.0,3692,41,5,53,11,168,45,264,84,3166,859,20,Casual,Dark Grey,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,Sweatpants,,,Sweatshirt,,,
50,swvest07200630078,SHEIN Solid Cropped Tank Top,4.0,4662,68,15,65,12,136,36,220,54,4173,912,4,Casual,White,Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
51,swvest07201008736,SHEIN Solid Crop Tank Top,4.0,4662,68,15,65,12,136,36,220,54,4173,912,4,Sporty,"Neon, Orange",Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
52,swvest07201008783,SHEIN Solid Crop Tank Top,4.0,4662,68,15,65,12,136,36,220,54,4173,912,4,Casual,Grey,Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
53,swvest07201008507,SHEIN Solid Crop Tank Top,4.0,4662,68,15,65,12,136,36,220,54,4173,912,4,Casual,Camel,Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
54,swvest07201008827,SHEIN Solid Crop Tank Top,4.0,4662,0,0,65,12,0,0,220,54,4173,912,4,Casual,Apricot,Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
55,swvest07201008956,SHEIN Solid Crop Tank Top,4.0,4662,68,15,65,12,136,36,220,54,4173,912,4,Casual,Black,Plain,Crop,Tank,Scoop Neck,,,,,Summer,"5% Spandex, 30% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
56,swpants04200728031,Fringed Two-Tone High Waisted Jeans,23.0,2243,16,1,17,1,47,21,132,38,2032,517,27,,Multicolor,Colorblock,Long,Straight Leg,,,,,"Fringe, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
57,swpants04200916032,Two Tone Fringe Raw Hem Straight Leg Jeans,23.0,2243,0,0,17,1,47,21,132,38,2032,517,27,,Multicolor,Colorblock,Long,Straight Leg,,,,,"Fringe, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
58,swpants04201027521,Fringed Two-Tone High Waisted Jeans,13.49,2243,16,1,17,1,47,21,132,38,2032,517,16,,Multicolor,Colorblock,Long,Straight Leg,,,,,"Fringe, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
59,swtee07200715446,SHEIN Buttoned Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,Black,Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
60,swtee07200627759,SHEIN Button Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,"Pastel, Lilac Purple",Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
61,swtee07200715398,SHEIN Buttoned Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,Yellow,Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
62,swtee07200715194,SHEIN Button Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,"Pastel, Mint Green",Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
63,swtee07200715592,SHEIN Buttoned Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,Baby Blue,Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
64,swtee07200715767,SHEIN Buttoned Front Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,9883,4,Casual,Burgundy,Plain,Crop,,V neck,Cap Sleeve,Regular Sleeve,Placket,Button Front,Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
65,swpants04200805464,High Waisted Butterfly Print Mom Jeans,21.0,4253,37,4,0,0,123,24,248,70,3810,996,25,,Black,Animal,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,,
66,swpants04200420517,High Waisted Butterfly Straight Leg Jeans,20.0,4253,37,4,35,4,4253,1098,248,70,3810,996,24,,Medium Wash,Animal,Long,Straight Leg,,,,,"Button, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,"Button Fly, Zipper Fly",High Waist,,,,,,,,,,,
67,swpants04200805003,High Waisted Butterfly Straight Leg Jeans Without Belt,21.0,4253,0,0,35,4,0,0,248,70,3810,996,25,,White,Animal,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,No,,
68,swpants04200604454,Drawstring Waist Slant Pocket Pants,14.0,8215,104,29,161,42,399,101,628,153,6923,1730,17,,Apricot,Plain,Long,,,,,,"Pocket, Drawstring",,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,"Elastic Waist, Drawstring Waist",High Waist,,,,,,,,,,,
69,swpants04200901138,Drawstring High-Rise Joggers,15.0,8215,104,29,161,42,399,101,628,153,6923,1730,18,,Black,Plain,Long,,,,,,"Pocket, Drawstring",All,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,,
70,swpants04200901494,Drawstring Waist Pocket Side Pants,12.0,8215,104,29,161,42,399,101,628,153,6923,1730,14,,Dark Grey,Plain,Long,,,,,,"Knot, Pocket, Drawstring",All,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,"Elastic Waist, Drawstring Waist",High Waist,,,,,,,,,,,
71,swpants04200901072,Drawstring Waist Pocket Side Pants,14.0,8215,104,29,161,42,399,101,628,153,6923,1730,17,,Beige,Plain,Long,,,,,,"Knot, Pocket, Drawstring",All,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,"Elastic Waist, Drawstring Waist",High Waist,,,,,,,,,,,
72,swpants04201009517,Drawstring Waist Pocket Side Pants,14.0,8215,104,29,161,42,399,101,628,153,6923,1730,17,,Grey,Plain,Long,,,,,,"Knot, Drawstring",All,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,"Elastic Waist, Drawstring Waist",High Waist,,,,,,,,,,,
73,swpants04201009600,Drawstring Waist Slant Pocket Pants,14.0,8215,104,29,8215,2052,399,101,628,153,6923,1730,17,,"Mint Green, Pastel",Plain,Long,,,,,,"Pocket, Drawstring",All,"65% Polyester, 35% Cotton",Polyester,Slight Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,,
74,swdress07201217526,SHEIN Frilled Strap Tie Front Ruched Bust Daisy Floral Dress,6.0,5,0,0,0,0,0,0,0,0,5,0,7,Casual,Black,Ditsy Floral,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Ruched, Frill",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,,Pencil,,,,
75,swsweatsh23201017798,Sun And Hands Graphic Sweatshirt,12.99,2,0,0,0,0,0,0,0,0,2,0,15,Casual,Grey,"Figure, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"5% Spandex, 35% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,,
76,swvest07201215116,SHEIN Plaid Crop Cami Top,3.0,43,0,0,0,0,0,0,5,1,38,2,3,Casual,Black and White,Plaid,Crop,Cami,Spaghetti Strap,,,,,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
77,swvest07201126556,SHEIN Zebra Striped Lettuce Trim Crop Cami Top,3.0,103,0,0,0,0,0,0,2,0,101,17,3,Casual,Black and White,Zebra Stripe,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
