,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Arabian Clothing,Top Type,Belt
27,swtee07201110263,,739,2,2,7,1,17,7,32,7,681,178,6,Elegant,Maroon,Plain,Regular,,V neck,Long Sleeve,Flounce Sleeve,Pullovers,Contrast Lace,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-neck Lace Detail Bell Sleeve Tee,4.99,,,,,
28,swjacket07201004930,,5,0,0,0,0,0,0,0,0,7,0,14,Casual,Multicolor,Gingham,Regular,Teddy,Collar,Long Sleeve,Drop Shoulder,,Zipper,Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Drop Shoulder Gingham Zip Up Teddy Jacket,12.0,,Zipper,,,
29,swvest07201119470,,8,0,0,0,0,0,0,1,0,8,0,6,Casual,Mauve Purple,Leopard,Crop,Cami,Spaghetti Strap,,,,Contrast Lace,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Leopard Print Lace Trim Cami Top,5.0,,,,,
30,swdress04201013640,,2,0,0,0,0,0,0,0,0,2,0,9,Elegant,Multicolor,"Floral, All Over Print",Short,A Line,Stand Collar,Long Sleeve,Flounce Sleeve,,"Ruffle, Ruffle Hem, Button",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Keyhole Back Ruffle Hem Allover Floral Print Dress,8.0,Flounce,,,,
31,swouter07201012788,,371,2,0,1,1,9,1,21,3,338,56,21,Casual,Blue and White,Plaid,Regular,Teddy,Hooded,Long Sleeve,Drop Shoulder,,"Pocket, Button, Zipper",Fall/Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Flap Pocket Contrast Hooded Buffalo Plaid Teddy Coat,17.49,,Zipper,,,
32,swouter07200829226,,371,2,0,1,1,9,1,21,3,338,56,20,Casual,Multicolor,Plaid,Regular,Teddy,Hooded,Long Sleeve,Drop Shoulder,,"Pocket, Button, Zipper",Fall/Winter,"37% Cotton, 63% Polyester",Shearling,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Flap Pocket Contrast Hooded Buffalo Plaid Teddy Coat,17.0,,Zipper,,,
33,swsweatsh23201013517,,362,4,0,6,1,8,2,17,3,333,58,17,Casual,Light Grey,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Letter Graphic Sweatshirt,14.0,,,,,
34,swtee07201126717,,11,0,0,0,0,0,0,0,0,11,0,4,Casual,Black,Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Scoop Neck Crop Tee,3.99,,,,,
35,swsweatsh44201008926,,3965,40,10,43,13,136,23,264,49,3483,690,18,Casual,Chocolate Brown,"Letter, Colorblock",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Cotton Blends,Slight Stretch,No,Oversized,,,,No,,,,Letter Graphic Drop Shoulder Sweatshirt,14.99,,,,,
36,swsweatsh44200825695,,3965,40,10,43,13,136,23,264,49,3483,690,18,Casual,Green,"Letter, Colorblock",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Cotton Blends,Slight Stretch,No,Oversized,,,,No,,,,Letter Graphic Drop Shoulder Sweatshirt,14.99,,,,,
37,swsweatsh44201008033,,3965,40,10,43,13,136,23,264,49,3483,690,18,Casual,Navy Blue,"Letter, Colorblock",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Cotton Blends,Slight Stretch,No,Oversized,,,,No,,,,Letter Graphic Drop Shoulder Sweatshirt,14.99,,,,,
38,swsweatsh44201008068,,3965,40,10,43,13,136,23,264,49,3483,690,18,Casual,Maroon,"Letter, Colorblock",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Cotton Blends,Slight Stretch,No,Oversized,,,,No,,,,Letter Graphic Drop Shoulder Sweatshirt,14.99,,,,,
39,swsweatsh44201013083,,3965,40,10,43,13,136,23,264,49,3483,690,18,Casual,Black,"Letter, Colorblock",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Cotton Blends,Slight Stretch,No,Oversized,,,,No,,,,Letter Graphic Drop Shoulder Sweatshirt,14.99,,,,,
40,swsweater23201106872,,3,0,0,0,0,0,0,0,0,3,0,12,Casual,Light Grey,Plain,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Cable & Pointelle Knit Sweater,10.0,,,,,
41,swsweater03201023768,,233,4,1,2,1,4,2,26,4,198,19,24,Preppy,Black,Geometric,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Argyle Pattern Drop Shoulder Round Neck Sweater,20.0,,,,,
42,swbodysui07201207209,,5026,41,11,31,9,82,20,181,65,4691,1548,12,Casual,White,Plain,,Tank,Round Neck,Sleeveless,,,,Summer,"10% Spandex, 90% Nylon",Nylon,High Stretch,No,Skinny,,Natural,,,,,,SHEIN Solid Tank Bodysuit,10.0,,,,,
43,swbodysui07200624083,,5026,41,11,31,9,82,20,181,65,4691,1548,13,Casual,Mocha Brown,Plain,,Tank,Round Neck,Sleeveless,,,,Summer,"10% Spandex, 90% Nylon",Nylon,High Stretch,No,Skinny,,Natural,,,,,,SHEIN Solid Tank Bodysuit,11.0,,,,,
44,swbodysui07200813978,,5026,41,11,31,9,82,20,181,65,4691,1548,13,Basics,Rose Red,Plain,,Tank,Round Neck,Short Sleeve,,,,Summer,"10% Spandex, 90% Nylon",Nylon,High Stretch,No,Skinny,,Natural,,,,,,SHEIN Solid Form Fitting Bodysuit,11.0,,,,,
45,swbodysui07200813211,,5026,41,11,31,9,82,20,181,65,4691,1548,12,Basics,Black,Plain,,Tank,Round Neck,Sleeveless,,,,Summer,"10% Spandex, 90% Nylon",Nylon,High Stretch,No,Skinny,,Natural,,,,,,SHEIN Solid Form Fitting Bodysuit,10.0,,,,,
46,swbodysui07200813096,,5026,41,11,31,9,82,20,181,65,4691,1548,13,Basics,Brown,Plain,,Tank,Round Neck,Sleeveless,,,,Summer,"10% Spandex, 90% Nylon",Nylon,High Stretch,No,Skinny,,Natural,,,,,,SHEIN Solid Form Fitting Bodysuit,11.0,,,,,
47,swvest07201225692,,2960,1,0,4,0,19,4,70,18,2866,768,4,Casual,Khaki,Slogan,Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"32% Rayon, 8% Spandex, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Slogan Graphic Crop Tank Top,4.0,,,,,
48,swvest07200624485,,2960,1,0,4,0,19,4,70,18,2866,768,4,Casual,White,Slogan,Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Slogan Graphic Crop Tank Top,4.0,,,,,
49,swvest07200717053,,2960,1,0,4,0,19,4,70,18,2866,768,4,Casual,Black,Slogan,Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"33% Rayon, 5% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Slogan Graphic Rib-knit Crop Tank Top,4.0,,,,,
50,swvest07210105447,,2960,1,0,4,0,19,4,70,18,2866,768,4,Casual,Navy Blue,Slogan,Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"32% Rayon, 8% Spandex, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Slogan Graphic Crop Tank Top,4.0,,,,,
51,swvest07201119967,,204,0,0,2,0,2,0,3,0,197,29,6,Boho,Multicolor,Ditsy Floral,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ditsy Floral Ruched Bust Lettuce Trim Crop Cami Top,5.0,,,,,
52,swvest07201211353,,204,0,0,2,0,2,0,3,0,197,29,6,Boho,Red and White,Ditsy Floral,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ditsy Floral Ruched Bust Lettuce Trim Crop Cami Top,5.0,,,,,
53,swblouse44201007487,,11,0,0,0,0,0,0,0,0,11,2,6,Elegant,Black and White,All Over Print,Regular,Top,Tie Neck,Long Sleeve,Flounce Sleeve,Pullovers,Ruffle,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Tie Neck Allover Print Flounce Sleeve Blouse,5.0,,,,,
54,swleg07201030300,,711,9,0,12,1,32,5,48,8,610,93,9,Sporty,Black,"Striped, Colorblock",Long,Regular,,,,,Asymmetrical,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Colorblock Overlap Waist Striped Leggings,8.0,,,,,
55,swleg07200921867,,711,9,0,12,1,32,5,48,8,610,93,9,Sporty,Dark Grey,Colorblock,Cropped,Regular,,,,,Asymmetrical,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Striped Wide Waistband Crop Leggings,8.0,,,,,
56,swtop07201217653,,8,0,0,0,0,0,0,0,0,10,0,6,Boho,Multicolor,Ditsy Floral,Crop,,Spaghetti Strap,Sleeveless,,Pullovers,"Knot, Ruffle, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ditsy Floral Ruffle Trim Ruched Bust Top,5.0,,,,,
57,swblouse25201117147,,4,0,0,0,0,0,0,1,0,3,0,6,Elegant,Baby Pink,Plain,Regular,Top,Stand Collar,Long Sleeve,Flounce Sleeve,Pullovers,Contrast Lace,Spring,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Stand Collar Lace Panel Flounce Sleeve Blouse,5.49,,,,,
58,swblouse07201201474,,61,1,0,0,0,3,0,4,2,53,7,13,Casual,White,Plain,Regular,Shirt,V neck,Long Sleeve,Bishop Sleeve,Placket,"Frill, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Bishop Sleeve Frill Detail Blouse,11.0,,,,,
59,swblouse07201224937,,61,1,0,0,0,3,0,4,2,53,7,13,Casual,Black,Plain,Regular,Shirt,V neck,Long Sleeve,Bishop Sleeve,Placket,"Frill, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Bishop Sleeve Frill Detail Blouse,11.0,,,,,
60,swpants04200929435,,95,0,0,4,0,3,0,4,0,84,10,20,,Black,Plain,Long,Skinny,,,,,"Raw Hem, Button, Pocket, Zipper",,"2% Spandex, 85% Cotton, 13% Polyester",Denim,High Stretch,No,Skinny,Zipper Fly,High Waist,,,,,,High Waist Raw Hem Skinny Jeans,17.0,,,,,
61,swvest07201216971,,8,0,0,0,0,0,0,0,0,9,0,6,Casual,Black and White,Animal,Crop,Cami,Spaghetti Strap,,,,Contrast Lace,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Cow Print Lace Trim Cami Top,5.0,,,,,
62,swsweatsh07200928711,,1073,2,0,2,0,15,3,33,8,1025,218,12,Casual,Black,Plain,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Pocket,Winter,100% Polyester,Shearling,Non-Stretch,No,Oversized,,,,,,,,SHEIN Drop Shoulder Pocket Front Teddy Hoodie,9.99,,,,,
63,swsweatsh07200819186,,1073,2,0,2,0,15,3,33,8,1025,218,12,Casual,Dusty Blue,Plain,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Pocket,Winter,100% Polyester,Shearling,Non-Stretch,No,Oversized,,,,,,,,SHEIN Drop Shoulder Pocket Front Teddy Hoodie,9.99,,,,,
64,swsweatsh07200928597,,1073,2,0,2,0,15,3,33,8,1025,218,12,Casual,Beige,Plain,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Pocket,Winter,100% Polyester,Shearling,Non-Stretch,No,Oversized,,,,,,,,SHEIN Drop Shoulder Kangaroo Pocket Teddy Hoodie,9.99,,,,,
65,swpants04200928050,,288,0,0,4,0,8,1,25,7,251,46,21,Casual,Maroon,Plain,Long,Flare Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"85% Cotton, 15% Polyester",Corduroy,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Slant Pocket Cord Pants,18.0,,,,,
66,swvest07201218139,,9,0,0,0,0,0,0,0,0,9,0,6,Sexy,Multicolor,Scarf Print,Crop,Cami,Spaghetti Strap,,,,"Lace Up, Backless",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Up Backless Scarf Print Crop Cami Top,5.0,,,,,
67,swblouse07201017404,,50,1,0,0,0,2,0,2,0,46,14,10,Elegant,Black,Plain,Regular,Shirt,Collar,Long Sleeve,Regular Sleeve,Placket,"Sheer, Button",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Button Front Chiffon Blouse,8.49,,,Yes,,
68,swouter44201022738,,380,0,0,0,0,11,3,33,3,337,47,24,Casual,Khaki,Plaid,Short,Teddy,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button",Winter,100% Polyester,Flannel,Non-Stretch,No,Regular Fit,,,,,,,,Teddy Plaid Drop Shoulder Single Breasted Coat,20.0,,Single Breasted,,,
69,swouter44201207932,,380,0,0,0,0,11,3,33,3,337,47,24,Casual,Multicolor,Plaid,Short,Teddy,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button",Winter,100% Polyester,Flannel,Non-Stretch,No,Regular Fit,,,,,,,,Teddy Plaid Drop Shoulder Single Breasted Coat,20.0,,Single Breasted,,,
70,swtee04201030930,,6,0,0,0,0,2,0,0,0,4,0,7,Casual,Grey,,Regular,,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,Contrast Lace,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,,Lace Trim Drop Shoulder Tee,6.0,,,,,
71,swtee07200928356,,2758,10,1,18,5,73,20,191,49,2468,735,3,Elegant,Camel,Plain,Crop,,Stand Collar,Long Sleeve,Flounce Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Flounce Sleeve Lettuce Trim Rib-knit Tee,2.99,,,,,
72,swtee07190925883,,2758,10,1,0,0,2758,810,191,49,2468,735,4,Elegant,Black,Plain,Crop,,Stand Collar,Long Sleeve,Flounce Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Edge Bell Sleeve Rib-knit Crop Tee,3.99,,,,,
73,swtee07200908054,,2758,10,1,18,5,73,20,191,49,2468,735,4,Elegant,Camel,Plain,Crop,,Stand Collar,Long Sleeve,Flounce Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Flounce Sleeve Lettuce Trim Rib-knit Tee,3.49,,,,,
74,swsweater23201124560,,109,2,0,3,0,6,0,16,4,82,14,18,Casual,Multicolor,"Colorblock, Graphic",Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Fall/Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Graphic Colorblock Drop Shoulder Sweater,15.0,,,,,
75,swsweater23201124369,,109,2,0,3,0,6,0,16,4,82,14,0,Casual,Multicolor,"Colorblock, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Colorblock Graphic Pattern Drop Shoulder Sweater,14.99,,,,,
76,swtee04201102249,,4,0,0,0,0,0,0,0,0,4,0,9,Casual,Baby Blue,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Rib-Knit, Button Front",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,Button Front Rib-knit Crop Tee,8.0,,,,,
77,swtop07201110741,,20,0,0,0,0,0,0,1,0,19,5,4,Sexy,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,"Backless, Criss Cross, Tie Back, Rib-Knit",Spring/Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Crisscross Tied Backless Top,3.49,,,,,
