,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Arabian Clothing
16,swblazer04201030333,,225,7,1,7,0,20,1,19,4,172,31,31,Casual,Black,Plain,Long,Regular,Lapel,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall,"45% PU Leather, 55% Polyester",PU Leather,Non-Stretch,No,Oversized,,,,,,,,Single Button PU Leather Oversized Blazer,26.0,Single Button,,,,
17,swpants07200508381,,10000,0,0,58,21,440,82,802,194,8700,1990,10,Casual,Grey,Plain,Long,Flare Leg,,,,,Rib-Knit,Spring/Summer/Fall,"5% Viscose, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,SHEIN Ribbed Marble Knit Flare Pants,9.0,,,,,
18,swpants07200619254,,10000,0,0,58,21,9999,2284,802,194,8700,1990,13,Casual,Redwood,Plain,Long,Flare Leg,,,,,Rib-Knit,Spring/Summer/Fall,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,SHEIN Flare Leg Rib-knit Pants,11.0,,,,,
19,swpants07200619000,,10000,0,0,58,21,440,82,802,194,8700,1990,13,Casual,Black,Plain,Long,Flare Leg,,,,,Rib-Knit,Spring/Summer/Fall,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,Natural,,,,,,SHEIN Flare Leg Rib-knit Pants,11.0,,,,,
20,swpants07200908730,,10000,0,0,58,21,440,82,0,0,8700,1990,14,Elegant,Khaki,Plain,Long,Flare Leg,,,,,,Spring/Summer/Fall,"20% Rayon, 5% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,Natural,,,,,,SHEIN Flare Leg Solid Pants,12.0,,,,,
21,swskirt07201119327,,97,0,0,3,0,3,0,8,0,83,13,9,Preppy,Multicolor,Tartan,Mini,A Line,,,,,Zipper,Summer,100% Polyester,Polyester,Non-Stretch,No,,,High Waist,,,,,,SHEIN Fold Pleated Tartan Skirt,8.0,,,,,
22,swsweatsh23201016666,,146,0,0,0,0,1,0,7,2,139,26,12,Casual,Light Grey,"Letter, Animal",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter & Eagle Print Drop Shoulder Sweatshirt,9.99,,,,,
23,swsweatsh23201015634,,42,0,0,1,0,1,0,2,0,38,3,8,Casual,Black and White,Colorblock,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Raglan Sleeve Kangaroo Pocket Colorblock Hoodie,7.0,,,,,
24,swtee07201028938,,91,0,0,0,0,1,1,3,2,90,34,4,Elegant,Black,Plain,Regular,,Asymmetrical Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Asymmetrical Neck Rib-knit Tee,3.99,,,,,
25,swtee07201029103,,15,0,0,0,0,1,0,2,1,12,4,6,Elegant,Black,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Criss Cross, Wrap",Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Mock Neck Cross Wrap Front Crop Tee,5.49,,,,,
26,swblouse23201014703,,79,1,0,1,1,1,0,4,0,73,15,13,Elegant,Multicolor,Geometric,Regular,Top,Tie Neck,Long Sleeve,Regular Sleeve,Half Placket,Button,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Tie Neck Keyhole Back Geo Top,11.0,,,,,
27,swblouse23201125661,,79,1,0,1,1,1,0,4,0,73,15,13,Elegant,Multicolor,Geometric,Regular,Top,Tie Neck,Long Sleeve,Regular Sleeve,Half Placket,Button,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Tie Neck Keyhole Back Geo Top,11.0,,,,,
28,swblouse23201125918,,79,1,0,1,1,1,0,4,0,73,15,13,Elegant,Multicolor,Geometric,Regular,Top,Tie Neck,Long Sleeve,Regular Sleeve,Half Placket,Button,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Tie Neck Keyhole Back Geo Top,11.0,,,,,
29,swtwop07201119938,,6,0,0,0,0,0,0,0,0,6,0,14,Casual,Grey,Plain,,,One Shoulder,Long Sleeve,Regular Sleeve,,"Knot, Pocket",Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN One Shoulder Solid Crop Top & Knot Waist Joggers Set,12.0,,,,Tee,
30,swtee07201205527,,1,0,0,0,0,0,0,0,0,1,0,6,Casual,Lime Green,Cartoon,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Embroidery,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Embroidery Detail Crop Tee,4.99,,,,,
31,swvest07201113659,,347,0,0,0,0,1,0,27,2,319,38,6,Casual,Multicolor,Animal,Crop,Cami,Spaghetti Strap,,,,"Contrast Lace, Lettuce Trim, Ruched Bust",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Trim Chinese Dragon and Fire Print Cami Top,5.0,,,,,
32,swpants04201113023,,19,1,0,0,0,0,0,1,0,18,2,26,,Dark Wash,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Slant Pocket Straight Jeans,22.0,,,,,
33,swsweater07201109132,,88,0,0,0,0,1,0,6,1,81,8,21,Casual,White,Plain,Regular,Pullovers,Funnel Neck,Long Sleeve,Drop Shoulder,Pullovers,,Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Turtle Neck Fuzzy Sweater,18.0,,,,,
34,swsweater23201030533,,5,0,0,0,0,0,0,0,0,5,0,0,Casual,Black,Plain,Regular,Pullovers,Stand Collar,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Cable Knit Sweater,8.49,,,,,
35,swsweatsh07201031565,,182,0,0,2,2,3,0,7,2,171,41,4,Casual,Apricot,Plain,Regular,Pullovers,High Neck,Long Sleeve,Drop Shoulder,,,Winter,100% Polyester,Shearling,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN High Neck Drop Shoulder Solid Teddy Pullover,3.99,,,,,
36,swleg23200911840,,5794,190,35,172,41,410,101,0,0,4542,1141,12,Casual,Black,Plain,Cropped,Regular,,,,,,All,"35% Cotton, 65% Polyester",PU Leather,Slight Stretch,No,,,,,,,,,PU High Waist Leggings,10.0,,,,,
37,swtee07200928135,,1581,33,4,29,6,67,23,1581,495,1355,431,4,Casual,Multicolor,Plaid,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Mock Neck Plaid Form Fitted Tee,3.99,,,,,
38,swtee23201012619,,6194,28,4,48,11,144,32,261,62,5714,1913,12,Casual,Multicolor,Colorblock,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Cut And Sew Tee,9.99,,,,,
39,swtee23200908151,,6194,28,4,48,11,144,32,261,62,5714,1913,4,Casual,Multicolor,Colorblock,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Cut And Sew Tee,3.99,,,,,
40,swtee23201012723,,6194,28,4,48,11,144,32,261,62,5714,1913,12,Casual,Grey,Colorblock,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Cut And Sew Tee,9.99,,,,,
41,swtee23201012209,,6194,28,4,48,11,144,32,261,62,5714,1913,12,Casual,Multicolor,Colorblock,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Cut And Sew Tee,9.99,,,,,
42,swtee23201023321,,6194,28,4,48,11,144,32,6194,2018,5714,1913,12,Casual,Multicolor,Colorblock,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Cut And Sew Panel Mock Neck Tee,9.99,,,,,
43,swtwop07201111398,,324,3,0,6,0,26,8,22,2,267,50,27,Sporty,Coffee Brown,Plain,,,V neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"37% Cotton, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,,,,Sweatshirt,
44,swtwop07200918716,,324,3,0,6,0,26,8,22,2,267,50,29,Casual,Camel,Plain,,,V neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"37% Cotton, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,24.0,,,,Sweatshirt,
45,swtwop07201111396,,324,3,0,6,0,26,8,22,2,267,50,27,Sporty,Dark Grey,Plain,,,V neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"37% Cotton, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,,,,Sweatshirt,
46,swblouse07201106597,,7,0,0,0,0,0,0,2,0,5,1,9,Preppy,Multicolor,"Colorblock, Tartan",Long,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Pocket,Spring/Fall,"65% Cotton, 35% Polyester",Cotton,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Button Front Patch Pocket Colorblock Tartan Blouse,8.0,,,,,
47,swouter07201029463,,8,0,0,0,0,1,0,0,0,7,1,21,Casual,Brown,Plain,Short,Teddy,Notched,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Winter,100% Polyester,Shearling,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Notch Collar Slant Pocket Teddy Coat,18.0,Single Breasted,,,,
48,swtwop01201113387,,7,0,0,0,0,0,0,0,0,7,0,23,Casual,Apricot,Plain,,,Round Neck,Sleeveless,,,,Spring/Summer,"5% Spandex, 35% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Pants,Racer Tank Top With Pants,19.0,,,,Camisole,
49,swpants04201016956,,2782,91,16,106,21,176,37,267,66,2142,499,24,,Black,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,High Waist Wide Leg Jeans,20.0,,,,,
50,swpants04200316353,,2785,91,16,106,21,176,37,267,66,3,502,24,,Blue,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,"Button Fly, Zipper Fly",High Waist,,,,,,High-Rise Baggy Jeans,20.0,,,,,
51,swdress03201009490,,3499,33,9,42,10,118,37,186,51,3120,939,26,Casual,Maroon,Plain,Short,,High Neck,Long Sleeve,Drop Shoulder,,,Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Turtleneck Cable And Ribbed Knit Dress,22.0,,,Straight,,
52,swdress03200703647,,3499,33,9,42,10,118,37,186,51,3120,939,26,Elegant,Baby Pink,Plain,Short,,High Neck,Long Sleeve,Regular Sleeve,,,Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,Natural,,,,,,High Neck Cable Knit Sweater Dress,22.0,,,,,
53,swdress03200924089,,3499,33,9,42,10,118,37,186,51,3120,939,23,Casual,Grey,Plain,Short,,High Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Turtleneck Drop Shoulder Sweater Dress,19.0,,,Straight,,
54,swdress03201007577,,3499,33,9,42,10,118,37,186,51,3120,939,26,Casual,Black,Plain,Short,,High Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Turtleneck Drop Shoulder Sweater Dress,22.0,,,,,
55,swdress23201026020,,3499,33,9,42,10,118,37,186,51,3120,939,26,Elegant,Dark Green,Plain,Short,,High Neck,Long Sleeve,Drop Shoulder,,,Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Turtleneck Cable Knit Sweater Dress,22.0,,,Straight,,
56,swdress23201111922,,3499,33,9,42,10,118,37,186,51,3120,939,26,Casual,Purple,Plain,Short,,High Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Turtleneck Sweater Dress,22.0,,,Straight,,
57,swdress23200929774,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,Black,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Dress,14.0,,,Pencil,,
58,swdress23200902858,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,Burgundy,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Cami Dress,14.0,,,Pencil,,
59,swdress23200929672,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,Coffee Brown,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Dress,14.0,,,Pencil,,
60,swdress23200929484,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,Navy Blue,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Dress,14.0,,,Pencil,,
61,swdress23201008988,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,White,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Dress,14.0,,,Pencil,,
62,swdress23201008963,,3579,21,5,23,4,56,17,105,31,3375,829,17,Elegant,Khaki,Plain,Midi,Bodycon,Spaghetti Strap,Sleeveless,,,Ruched,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,Natural,,,,,,Solid Ruched Bodycon Dress,14.0,,,Pencil,,
63,swtee07200929461,,10000,0,0,0,0,0,0,0,0,9999,9901,4,Elegant,Apricot,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid High Neck Form Fitted Tee,3.99,,,,,
64,swtee07190522351,,10000,0,0,0,0,0,0,0,0,9999,9901,4,Basics,White,Plain,Regular,,High Neck,Long Sleeve,,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Solid Form-Fitting Turtleneck Top,3.99,,,,,
65,swtee07190522302,,10000,0,0,0,0,0,0,0,0,9999,9901,4,Elegant,"Pastel, Baby Pink",Plain,Regular,,Stand Collar,Long Sleeve,,Pullovers,,Spring,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,,Slim Fit,,,,,,,,SHEIN Solid Mock-neck Form Fitting Tee,3.99,,,,,
66,swtee07190522629,,10000,0,0,0,0,0,0,0,0,9999,9901,4,Basics,Navy Blue,Plain,Regular,,High Neck,Long Sleeve,,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",,Slight Stretch,,Slim Fit,,,,,,,,SHEIN High Neck Solid Tee,3.99,,,,,
67,swtee07200929608,,10000,0,0,0,0,0,0,0,0,9999,9901,4,Elegant,Coral Pink,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Solid High Neck Form Fitted Tee,3.99,,,,,
68,swblouse01200930068,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Casual,Black,Plain,Long,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button Up Drop Shoulder Blouse,11.0,,,,,
69,swblouse03200807735,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Elegant,White,Plain,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button-Front Drop Shoulder Shirt,11.0,,,,,
70,swblouse01201012088,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Elegant,Mint Green,Plain,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button Up Drop Shoulder Blouse,11.0,,,,,
71,swblouse01201012145,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Elegant,Maroon,Plain,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button Up Drop Shoulder Blouse,11.0,,,,,
72,swblouse01201026720,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Elegant,Light Grey,Plain,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button Up Drop Shoulder Blouse,11.0,,,,,
73,swblouse01201026337,,10000,0,0,0,0,0,0,0,0,9999,5232,13,Elegant,Chocolate Brown,Plain,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,Button Front,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Button Up Drop Shoulder Blouse,11.0,,,,,
74,swtee07201114479,,58,0,0,0,0,0,0,0,0,0,0,9,Casual,Brown,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Crop Top,7.99,,,,,
75,swtee07201209087,,58,0,0,0,0,0,0,0,0,58,6,9,Casual,Black,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Crop Top,7.99,,,,,
76,swtee07201209931,,58,0,0,0,0,0,0,0,0,58,6,7,Casual,White,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Crop Top,5.99,,,,,
77,swvest07201019518,,26,0,0,1,0,2,1,1,0,23,7,15,Glamorous,Dark Green,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,"8% Spandex, 92% Polyester",Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Bustier Chain Straps Satin Cami Top,13.0,,,,,
78,swvest07201208366,,26,0,0,1,0,2,1,1,0,23,7,15,Glamorous,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,"8% Spandex, 92% Polyester",Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Bustier Chain Straps Satin Cami Top,13.0,,,,,
