,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Belt,Top Type,Arabian Clothing
10,swdress07201126486,,10000,0,0,0,0,0,0,0,0,9999,3889,9,Glamorous,Dark Green,Plain,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Backless, Lace Up",All,"10% Spandex, 90% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Lace-up Open Back Velvet Bodycon Dress,8.0,Pencil,,,,
11,swouter07200820904,,1098,2,1,5,0,11,3,90,25,993,252,24,Casual,Multicolor,Geometric,Crop,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Button Up Argyle Crop Cardigan,20.0,,,,,
12,swvest44200715745,,10000,0,0,0,0,0,0,9999,3533,9999,3533,6,Sexy,Black,Plain,Crop,Cami,Spaghetti Strap,,,,Ruched Bust,Summer,100% Polyester,Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Ruched Bust Crop Cami Top,5.0,,,,,
13,swvest44200508660,,10000,0,0,0,0,0,0,0,0,9999,3533,6,Casual,White,Plain,Crop,Cami,Spaghetti Strap,,,,"Ruched, Ruched Bust",Summer,100% Polyester,Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Ruched Bust Wideband Cami Top,5.0,,,,,
14,swvest44200715931,,10000,0,0,0,0,0,0,0,0,9999,3533,6,Casual,Rose Red,Plain,Crop,Cami,Spaghetti Strap,,,,Ruched Bust,Summer,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Ruched Bust Crop Cami Top,5.0,,,,,
15,swvest44200715859,,10000,0,0,0,0,0,0,0,0,9999,3533,6,Casual,Violet Purple,Plain,Crop,Cami,Spaghetti Strap,,,,Ruched Bust,Summer,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Solid Ruched Bust Crop Cami Top,5.0,,,,,
16,swtee07201124430,,0,0,0,0,0,0,0,0,0,0,0,7,Elegant,Black,Plain,Regular,,Cold Shoulder,Long Sleeve,Split Sleeve,Pullovers,Split,Spring/Fall,"6% Spandex, 94% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Cold Shoulder Split Cuff Top,5.99,,,,,
17,swouter04200826686,,5185,0,0,18,6,47,3,189,44,4920,1472,14,Casual,Lilac Purple,Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,Button Front,Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,Button Front Rib-knit Cardigan,12.0,,,,,
18,swouter04200526583,,5185,11,4,18,6,47,3,189,44,4920,1472,15,Casual,"Pastel, Baby Blue",Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,Button Front Rib-knit Crop Cardigan,13.0,,,,,
19,swouter04200721861,,5185,11,4,18,6,47,3,189,44,4920,1472,14,Casual,White,Plain,Crop,Cardigan,Scoop Neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring/Fall,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,Ribbed Button-Front Cropped Cardigan,12.0,,,,,
20,swouter04200721073,,5185,11,4,18,6,47,3,189,44,4920,1472,14,Casual,Black,Plain,Crop,Cardigan,Deep V Neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,Button Front Rib-knit Crop Cardigan,12.0,,,,,
21,swouter04200721285,,5185,11,4,18,6,47,3,189,44,4920,1472,14,Casual,Brown,Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring/Fall,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,Button Front Rib-knit Crop Cardigan,12.0,,,,,
22,swskirt07200925175,,152,0,0,2,0,11,2,8,1,131,32,4,Sexy,Multicolor,Leopard,Mini,Bodycon,,,,,"Knot, Cut Out",Summer,"7% Spandex, 93% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,SHEIN Leopard Cut Out Waist Knot Side Skirt,4.0,,,,,
23,swvest07200704161,,10000,0,0,0,0,0,0,0,0,9999,4882,4,Casual,Pink,Tie Dye,Crop,Tank,Square Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Tie Dye Crop Tank Top,4.0,,,,,
24,swvest07200608082,,10000,0,0,0,0,0,0,0,0,9999,4882,4,Casual,Black and White,Tie Dye,Crop,Tank,Square Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Tie Dye Crop Tank Top,4.0,,,,,
25,swvest07200704058,,10000,0,0,0,0,0,0,0,0,9999,4882,4,Casual,Blue and White,Tie Dye,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Tie Dye Crop Tank Top,4.0,,,,,
26,swvest07200704290,,10000,0,0,0,0,0,0,0,0,9999,4882,4,Boho,Orange,Tie Dye,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Tie Dye Crop Tank Top,4.0,,,,,
27,swsweatsh04201207805,,1,0,0,0,0,0,0,1,0,0,0,18,Casual,Apricot,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Fall/Winter,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Thermal Sweatshirt,14.99,,,,,
28,swdress07201226459,,5,0,0,0,0,0,0,1,0,4,0,10,Boho,Red,"Floral, All Over Print",Short,Cami,Spaghetti Strap,Sleeveless,,,,Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,SHEIN Floral Print Cami Dress,9.0,Flared,,,,
29,swdress23200814736,,1113,23,5,26,5,44,9,1113,302,933,259,17,Elegant,Black,Plain,Mini,Pinafore,Straps,Sleeveless,,,Ruffle,Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Ruffle Armhole PU Suspender Dress,14.0,Flared,,,,
30,swdress04201013744,,1113,23,5,26,5,44,9,88,24,933,259,10,Elegant,Coffee Brown,Plain,Mini,Pinafore,Straps,Sleeveless,,,Ruffle,Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Ruffle Armhole PU Suspender Dress,9.0,Flared,,,,
31,swdress04201013977,,1113,23,5,26,5,44,9,88,24,933,259,11,Elegant,Burgundy,Plain,Mini,Pinafore,Straps,Sleeveless,,,Ruffle,Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Ruffle Armhole PU Suspender Dress,9.49,Flared,,,,
32,swdress04201014146,,1113,23,5,26,5,44,9,88,24,933,259,11,Elegant,Apricot,Plain,Mini,Pinafore,Straps,Sleeveless,,,Ruffle,All,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Ruffle Armhole PU Suspender Dress,9.49,Flared,,,,
33,swdress04201014056,,1113,23,5,26,5,44,9,88,24,933,259,8,Elegant,Navy Blue,Plain,Mini,Pinafore,Straps,Sleeveless,,,Ruffle,Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Ruffle Armhole PU Suspender Dress,7.0,Flared,,,,
34,swjacket04200727850,,1350,3,0,12,2,38,10,78,27,1220,306,21,Casual,Apricot,Plain,Regular,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Button Front Patch Pocket Crop Jacket,18.0,,Single Breasted,,,
35,swjacket23201007901,,1350,3,0,12,2,38,10,78,27,1220,306,21,Casual,Rust Brown,Plain,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket",Fall/Winter,"95% Polyester, 5% Spandex",Corduroy,Slight Stretch,No,Regular Fit,,,,,,,,Button Front Patch Pocket Cord Jacket,18.0,,Single Breasted,,,
36,swjacket23201007231,,1350,3,0,12,2,38,10,78,27,1220,306,21,Casual,Black,Plain,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket",Fall/Winter,"95% Polyester, 5% Spandex",Corduroy,Slight Stretch,No,Regular Fit,,,,,,,,Button Front Patch Pocket Cord Jacket,18.0,,Single Breasted,,,
37,swjacket23201007678,,1350,3,0,12,2,38,10,78,27,1220,306,21,Casual,Grey,Plain,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket",Fall/Winter,"95% Polyester, 5% Spandex",Corduroy,Slight Stretch,No,Regular Fit,,,,,,,,Button Front Patch Pocket Cord Jacket,18.0,,Single Breasted,,,
38,swskirt04200902708,,2836,28,5,41,9,146,30,224,78,2400,733,14,Elegant,White,Plaid,Mini,Straight,,,,,"Double Button, Zipper",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,,,High Waist,,,,,,Double Button Plaid Tweed Skirt,12.0,,,,,
39,swskirt04201016010,,2836,28,5,41,9,146,30,224,78,2400,733,14,Elegant,Navy Blue,Plaid,Mini,Straight,,,,,"Double Button, Zipper",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,,,High Waist,,,,,,Double Button Plaid Tweed Skirt,12.0,,,,,
40,swskirt04201016756,,2836,28,5,41,9,146,30,224,78,2400,733,14,Elegant,Black,Plaid,Mini,Straight,,,,,"Double Button, Zipper",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,,,High Waist,,,,,,Double Button Plaid Tweed Skirt,12.0,,,,,
41,swskirt04201019343,,2836,28,5,41,9,146,30,224,78,2400,733,15,Elegant,Black and White,Plaid,Mini,Straight,,,,,"Double Button, Zipper",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,,,High Waist,,,,,,Double Button Plaid Tweed Skirt,13.0,,,,,
42,swouter44200930106,,172,3,1,1,1,11,4,12,2,146,30,26,Casual,Multicolor,Houndstooth,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,Oversized,,,,,,,,Houndstooth Drop Shoulder Oversized Overcoat,22.0,,Single Breasted,,,
43,swouter44201109409,,172,3,1,1,1,11,4,12,2,146,30,17,Casual,Multicolor,Houndstooth,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,Oversized,,,,,,,,Houndstooth Drop Shoulder Oversized Tweed Coat,14.0,,Single Breasted,,,
44,swtee07200727703,,2078,3,1,8,1,34,7,83,26,1950,537,7,Casual,Black,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Piping Long Sleeve Crop Top,5.99,,,,,
45,swtee07201118054,,2078,3,1,8,1,34,7,83,26,1950,537,5,Casual,Burgundy,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Piping Long Sleeve Crop Top,4.49,,,,,
46,swtee07201118552,,2078,3,1,8,1,34,7,83,26,1950,537,5,Casual,Army Green,,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Contrast Piping Long Sleeve Crop Top,4.49,,,,,
47,swjacket23200928848,,1217,4,1,10,2,30,5,67,13,1109,286,23,Casual,Multicolor,Plaid,Regular,Teddy,Collar,Long Sleeve,Drop Shoulder,,Zipper,Winter,"35% Cotton, 65% Polyester",Shearling,Slight Stretch,No,Regular Fit,,,,,,,,Plaid Print Zip Up Drop Shoulder Teddy Jacket,19.0,,Zipper,,,
48,swtop07200701778,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Boho,"Red, Bright",Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Tie Back",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Up Crop Tube Top,4.0,,,,,
49,swtop07200519068,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Sexy,Black,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Lace Up",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Up Crop Tube Top,4.0,,,,,
50,swtop07200701301,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Boho,Royal Blue,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Tie Back",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Up Crop Tube Top,4.0,,,,,
51,swtop07200813502,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Sexy,White,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Tie Back",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Crisscross Tie Back Crop Tube Top,4.0,,,,,
52,swtop07201229138,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Sexy,Orange,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Tie Back",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Crisscross Tie Back Crop Tube Top,4.0,,,,,
53,swtop07201229873,,3942,24,5,39,11,124,31,203,59,3555,1146,4,Casual,Hot Pink,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Criss Cross, Lace Up",Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Tie Back Crop Tube Top,4.0,,,,,
54,swblouse04200915561,,124,6,1,5,1,7,3,10,2,96,13,13,Elegant,Beige,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Loose,,Natural,,,,,,Drop Shoulder Buttoned Shirt Dress Without Belt,10.99,Straight,,No,,
55,swdress04201120599,,124,6,1,5,1,7,3,10,2,96,13,12,Elegant,Mustard Yellow,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Loose,,Natural,,,,,,Drop Shoulder Buttoned Shirt Dress Without Belt,10.0,Straight,,No,,
56,swdress04201120634,,124,6,1,5,1,7,3,10,2,96,13,12,Elegant,Apricot,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Loose,,Natural,,,,,,Drop Shoulder Buttoned Shirt Dress Without Belt,9.99,Straight,,No,,
57,swdress04201120438,,124,6,1,5,1,7,3,10,2,96,13,12,Elegant,Army Green,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Loose,,Natural,,,,,,Drop Shoulder Buttoned Shirt Dress Without Belt,9.99,Straight,,No,,
58,swdress04201120500,,124,6,1,5,1,7,3,10,2,96,13,12,Elegant,Black,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Loose,,Natural,,,,,,Drop Shoulder Buttoned Shirt Dress Without Belt,9.99,Straight,,No,,
59,swpants07200824221,,1097,2,0,10,3,54,13,99,23,935,185,17,Casual,Navy Blue,Tie Dye,Long,Flare Leg,,,,,,Fall/Winter,"5% Spandex, 95% Polyester",Corduroy,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,SHEIN Flare Leg Tie Dye Cord Pants,14.0,,,,,
60,swpants07201118654,,1097,2,0,10,3,54,13,99,23,935,185,15,Casual,Multicolor,Tie Dye,Long,Flare Leg,,,,,,Fall/Winter,"5% Spandex, 95% Polyester",Corduroy,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,SHEIN Flare Leg Tie Dye Cord Pants,13.0,,,,,
61,swleg07200828467,,1090,25,3,28,9,59,17,73,13,906,199,10,Sporty,Dark Grey,Plain,Capris,Regular,,,,,Pocket,Spring/Summer/Fall,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Solid Wide Waistband Stitch Leggings,9.0,,,,,
62,swleg07201014255,,1090,25,3,28,9,59,17,73,13,906,199,12,Sporty,Maroon,,Cropped,Regular,,,,,,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Solid Wide Waistband Stitch Leggings,10.0,,,,,
63,swleg07201014186,,1090,25,3,28,9,59,17,73,13,906,199,10,Sporty,Navy Blue,Plain,Cropped,Regular,,,,,Pocket,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Solid Wide Waistband Stitch Leggings,9.0,,,,,
64,swtee07200731644,,2001,3,0,1,0,15,1,69,29,1913,739,4,Casual,Multicolor,Snakeskin Print,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Mock-Neck Snakeskin Pattern Crop Top,3.99,,,,,
65,swtwop07200818411,,4396,26,5,52,16,131,37,239,73,3948,1252,30,Sporty,Beige,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Spring/Fall,"37% Spandex, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN Drawstring Hem Drop Shoulder Pullover & Sweatpants Set,25.0,,,,Sweatshirt,
66,swtwop07200619259,,4396,26,5,52,16,131,37,239,73,3948,1252,30,Sporty,Apricot,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,Drawstring,Spring/Fall,"37% Spandex, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN Drop Shoulder Drawstring Hem Pullover & Sweatpants Set,25.0,,,,Sweatshirt,
67,swtwop07200818843,,4396,26,5,52,16,131,37,239,73,3948,1252,31,Sporty,Maroon,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Spring/Fall,"37% Spandex, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN Drawstring Hem Crop Pullover & Joggers Set,26.0,,,,Sweatshirt,
68,swtwop07200818928,,4416,26,5,52,16,131,37,3,76,20,1272,27,Sporty,Black,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Spring/Fall,"37% Spandex, 63% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,SHEIN Drawstring Hem Crop Pullover & Joggers Set,23.0,,,,Sweatshirt,
69,swpants04200907399,,1118,11,1,18,3,32,8,81,23,976,259,26,,Light Wash,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,SHEIN BASICS Stone Wash High-Waisted Straight Jeans,22.0,,,,,
70,swpants04200904567,,1118,11,1,18,3,32,8,81,23,976,259,26,,Medium Wash,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,SHEIN BASICS Stone Wash High-Waisted Straight Jeans,22.0,,,,,
71,swpants04200907133,,1119,11,1,1118,294,32,8,81,23,1,260,26,,Dark Grey,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,SHEIN BASICS Stone Wash High-Waisted Straight Jeans,22.0,,,,,
72,swouter04200819996,,1077,1,1,6,4,12,3,40,7,1019,276,26,Preppy,Multicolor,Plaid,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button, Button Front",Spring/Fall,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Flap Pocket Plaid Coat,22.0,,Single Breasted,,,
73,swouter04201008360,,1077,1,1,6,4,12,3,40,7,1019,276,21,Preppy,Multicolor,Plaid,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Flap Pocket Plaid Coat,18.0,,Single Breasted,,,
74,swouter04201008671,,1077,1,1,6,4,12,3,40,7,1019,276,21,Preppy,Multicolor,Plaid,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Flap Pocket Plaid Coat,18.0,,Single Breasted,,,
75,swpants07200810248,,1455,16,1,27,3,61,14,89,13,1262,225,13,Elegant,Black,Plain,Long,Skinny,,,,,"Split, Zipper",Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Skinny,Zipper Fly,High Waist,,,,,,SHEIN Zip Detail Split Hem Pants,11.0,,,,,
76,swpants04200911070,,4893,59,18,64,14,166,36,243,48,4362,1107,21,,Light Wash,,Cropped,Skinny,,,,,"Ripped, Raw Hem, Button, Zipper",,"2% Spandex, 85% Cotton, 13% Polyester",Denim,Slight Stretch,No,Skinny,Zipper Fly,Natural,,,,,,Raw Hem Ripped Skinny Jeans Without Belt,18.0,,,No,,
77,swpants04200803867,,4893,59,18,64,14,166,36,243,48,4362,1107,21,,Medium Wash,Plain,Cropped,Skinny,,,,,"Ripped, Raw Hem, Button, Pocket, Zipper",,"2% Spandex, 85% Cotton, 13% Polyester",Denim,Slight Stretch,No,Skinny,Zipper Fly,Natural,,,,,,SHEIN X WEJDENE High-Rise Distressed Skinny Jeans,18.0,,,,,
78,swpants04200911347,,4893,59,18,64,14,166,36,243,48,4362,1107,21,,Dark Wash,,Cropped,Skinny,,,,,"Ripped, Raw Hem, Button, Zipper",,"2% Spandex, 85% Cotton, 13% Polyester",Denim,Slight Stretch,No,Skinny,Zipper Fly,Natural,,,,,,Raw Hem Ripped Skinny Jeans Without Belt,18.0,,,No,,
