,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Top Type,Placket,Belt,Hem Shaped,Arabian Clothing
11,swtwop07200903800,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,23.0,7541,90,30,104,28,219,66,347,118,6781,2064,27,Sporty,Mocha Brown,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring/Fall,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
12,swtwop07200923152,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,23.0,7541,90,30,104,28,219,66,347,118,6781,2064,27,Sporty,Black,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring/Fall,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
13,swtwop07200923434,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,24.0,7541,90,30,104,28,219,66,347,118,6781,2064,29,Sporty,Maroon,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring/Fall,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
14,swtwop07200924053,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,20.0,7541,90,30,104,28,219,66,347,118,6781,2064,24,Sporty,Blue,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring/Fall,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
15,swtwop07200924382,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,23.0,7541,90,30,104,28,219,66,347,118,6781,2064,27,Sporty,Mint Green,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
16,swtwop07201016431,SHEIN Drop Shoulder Solid Pullover & Sweatpants Set,21.0,7541,90,30,104,28,219,66,347,118,6781,2064,25,Sporty,Khaki,Plain,,,Round Neck,Long Sleeve,Drop Shoulder,,"Knot, Pocket",Spring/Fall,"54% Cotton, 46% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,Sweatpants,Sweatshirt,,,,
17,swpants01200709682,High Waist Fire Print Pocket Mom Jeans,18.0,5156,61,11,81,13,242,45,487,133,4286,1052,21,,Black,Fire,Cropped,Tapered/Carrot,,,,,Pocket,,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,
18,swpants01200902895,High Waist Fire Print Pocket Straight Jeans,18.0,5156,61,11,81,13,242,45,487,133,4286,1052,21,,Dark Wash,Fire,Cropped,Straight Leg,,,,,Pocket,,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,
19,swtee07200916350,SHEIN Rib-knit Solid Form Fitted Tee,3.49,4782,8,1,15,6,56,27,113,44,4591,2159,4,Elegant,Dusty Pink,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
20,swtee07200824146,SHEIN Rib-knit Solid Form Fitted Tee,4.99,4782,8,1,15,6,56,27,113,44,4591,2159,6,Casual,Grey,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
21,swtee07200916415,SHEIN Rib-knit Solid Form Fitted Tee,4.99,4783,8,1,15,6,56,27,113,44,4591,2159,6,Casual,Mint Green,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
22,swtee07200916987,SHEIN Rib-knit Solid Form Fitted Tee,4.99,4783,8,1,15,6,56,27,113,44,4591,2159,6,Basics,White,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
23,swtee07200918766,SHEIN Rib-knit Solid Form Fitted Tee,4.99,4783,8,1,15,6,56,27,113,44,4591,2159,6,Casual,Brown,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
24,swtop07200910034,SHEIN Mock Neck Lace Lantern Sleeve Waffle Knit Top,8.0,966,1,0,6,1,12,3,30,8,917,215,9,Elegant,White,Plain,Regular,,Stand Collar,Long Sleeve,Bishop Sleeve,Pullovers,Contrast Lace,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
25,swtop07200810565,SHEIN Mock Neck Lace Lantern Sleeve Waffle Knit Top,9.0,966,1,0,6,1,12,3,0,0,917,215,10,Casual,Black,Plain,Regular,,Stand Collar,Long Sleeve,Bishop Sleeve,Pullovers,Contrast Lace,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
26,swtop07201019086,SHEIN Mock Neck Lace Lantern Sleeve Waffle Knit Top,9.0,966,1,0,6,1,12,3,30,8,917,215,10,Elegant,Dusty Blue,Floral,Regular,,Stand Collar,Long Sleeve,Bishop Sleeve,Pullovers,Contrast Lace,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
27,swpants07200909525,SHEIN Drawstring Waist Straight Leg Velvet Pants,14.0,742,2,1,3,0,7,0,27,2,703,114,17,Casual,Black,Plain,Long,Straight Leg,,,,,"Drawstring, Pocket",Fall/Winter,"8% Spandex, 92% Polyester",Velvet,Slight Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
28,swpants07201029546,SHEIN Drawstring Waist Velvet Pants,14.0,742,2,1,3,0,7,0,27,2,703,114,17,Casual,Dark Grey,Plain,Long,Wide Leg,,,,,"Drawstring, Pocket",Fall/Winter,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,,,,,
29,swtee07200909280,SHEIN Stand Collar Slim Tee,3.99,1222,9,3,23,3,48,12,111,35,1032,292,4,Elegant,Black,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
30,swtee07201014226,SHEIN Stand Collar Slim Tee,4.49,1222,9,3,23,3,48,12,111,35,1032,292,5,Casual,Chocolate Brown,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
31,swtee07201014720,SHEIN Stand Collar Slim Tee,4.49,1228,9,3,23,3,48,12,111,35,6,298,5,Casual,Khaki,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
32,swskirt07201026188,SHEIN Plaid Pleated Hem Skirt,6.0,20,0,0,0,0,0,0,3,0,17,5,7,Preppy,Multicolor,Plaid,Mini,Pleated,,,,,"Pleated, Zipper",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
33,swpants07200513242,SHEIN Zebra Striped Print Flare Pants,14.0,8181,37,8,73,11,325,80,757,218,6991,1927,17,Elegant,Black and White,Zebra Stripe,Long,Flare Leg,,,,,Zipper,Spring/Summer/Fall,"6% Spandex, 94% Polyester",Polyester,Slight Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
34,swtop07200921569,SHEIN Crisscross Tie Back Rib-knit Crop Top,7.0,848,5,3,12,2,13,1,35,12,783,189,8,Sexy,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,,"Criss Cross, Tie Back, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
35,swtop07201029396,SHEIN Crisscross Tie Back Rib-knit Crop Top,8.0,848,5,3,12,2,13,1,35,12,783,189,9,Sexy,Burgundy,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,,"Criss Cross, Tie Back, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
36,swtop07201029015,SHEIN Crisscross Tie Back Rib-knit Crop Top,7.0,848,0,0,12,2,13,1,35,12,783,189,8,Sexy,White,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,,"Criss Cross, Tie Back, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
37,swtop07201030237,SHEIN Crisscross Tie Back Rib-knit Crop Top,5.99,848,5,3,12,2,13,1,35,12,783,189,7,Elegant,Dusty Blue,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,,"Criss Cross, Tie Back, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
38,swtop07201228898,SHEIN Crisscross Tie Back Rib-knit Crop Top,8.0,848,5,3,12,2,13,1,35,12,783,189,9,Sexy,Mint Green,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,"Criss Cross, Tie Back, Wrap, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
39,swtop07201228019,SHEIN Crisscross Tie Back Rib-knit Crop Top,8.0,848,5,3,12,2,13,1,35,12,783,189,9,Elegant,Chocolate Brown,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,"Criss Cross, Tie Back, Rib-Knit",Spring/Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
40,swpants23200709155,Graphic Print Wide Leg Pants,13.0,3475,55,10,84,12,226,43,336,88,2773,716,15,Casual,Black,Graphic,Long,Wide Leg,,,,,,Spring/Summer/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,
41,swpants23200806602,Lightning Print Wide Leg Pants,13.0,3475,55,10,84,12,226,43,336,88,2773,716,15,Casual,Multicolor,Graphic,Long,Wide Leg,,,,,Pocket,Spring/Summer/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,
42,swblazer07200808371,SHEIN Lapel Neck Double-breasted Blazer Dress,25.0,1200,8,1,15,2,45,6,70,17,1063,299,30,Elegant,Black,Plain,Long,Dress,Lapel,Long Sleeve,Regular Sleeve,,Double Button,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,Double Breasted,,,
43,swblazer07201103044,SHEIN Lapel Neck Solid Blazer Dress,16.99,1200,8,1,15,2,45,6,70,17,1063,299,20,Elegant,Apricot,Plain,Long,Dress,Lapel,Long Sleeve,Regular Sleeve,,Double Button,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,Single Breasted,No,,
44,swblazer07201103354,SHEIN Lapel Neck Solid Blazer Dress,16.49,1200,8,1,15,2,45,6,70,17,1063,299,20,Elegant,Dusty Pink,Plain,Long,Dress,Lapel,Long Sleeve,Regular Sleeve,,Button Front,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,Single Breasted,No,,
45,swblazer07201103257,SHEIN Lapel Neck Solid Blazer,25.0,1200,8,1,15,2,45,6,70,17,1063,299,30,Elegant,Burgundy,Plain,Long,Dress,Lapel,Long Sleeve,Regular Sleeve,,Button Front,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,Double Breasted,No,,
46,swouter04200826686,Button Front Rib-knit Cardigan,12.0,5232,11,4,18,6,47,3,189,44,4962,1479,14,Casual,Lilac Purple,Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,Button Front,Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
47,swouter04200526583,Button Front Rib-knit Crop Cardigan,13.0,5232,11,4,18,6,47,3,189,44,4967,1479,15,Casual,"Pastel, Baby Blue",Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
48,swouter04200721861,Ribbed Button-Front Cropped Cardigan,12.0,5232,11,4,18,6,47,3,189,44,0,0,14,Casual,White,Plain,Crop,Cardigan,Scoop Neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring/Fall,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
49,swouter04200721073,Button Front Rib-knit Crop Cardigan,12.0,5232,11,4,18,6,47,3,189,44,4967,1479,14,Casual,Black,Plain,Crop,Cardigan,Deep V Neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
50,swouter04200721285,Button Front Rib-knit Crop Cardigan,12.0,5232,11,4,18,6,47,3,189,44,0,0,14,Casual,Brown,Plain,Crop,Cardigan,V neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Button Front",Spring/Fall,"20% Nylon, 30% Polyester, 50% Viscose",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
51,swsweater23200827209,Drop Shoulder Striped Sweater,18.0,128,1,0,0,0,3,1,14,3,111,13,21,Preppy,Beige,Striped,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
52,swpants04200708837,Button Fly Skinny Jeans,17.0,524,2,0,5,0,13,1,19,4,485,152,20,,Dark Wash,Plain,Long,Skinny,,,,,Button Front,,"2% Spandex, 85% Cotton, 13% Polyester",Denim,High Stretch,No,Skinny,Button Fly,High Waist,,,,,,,,,,
53,swpants04201027408,Button Fly Skinny Jeans,16.0,524,2,0,5,0,13,1,19,4,485,152,19,,Black,Plain,Cropped,Skinny,,,,,Button Front,,"2% Spandex, 85% Cotton, 13% Polyester",Denim,High Stretch,No,Skinny,Button Fly,High Waist,,,,,,,,,,
54,swpants04201126927,Button Fly Skinny Jeans,9.49,524,2,0,5,0,13,1,19,4,485,152,11,,Medium Wash,Plain,Cropped,Skinny,,,,,Button Front,,"2% Spandex, 85% Cotton, 13% Polyester",Denim,High Stretch,No,Skinny,Button Fly,High Waist,,,,,,,,,,
55,swdress07200805683,SHEIN Split Thigh Solid Dress,8.0,706,1,0,5,1,16,2,0,0,653,174,9,Casual,Black,Plain,Midi,Fitted,Sweetheart,Sleeveless,,,Split Thigh,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,,,Slit,
56,swdress07201102340,SHEIN Split Thigh Solid Dress Without Belt,9.0,706,1,0,5,1,16,2,31,12,653,174,10,Elegant,Rust Brown,Plain,Knee Length,Fitted,Sweetheart,Sleeveless,,,Split Thigh,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,,,Slit,
57,swdress07201102954,SHEIN Split Thigh Solid Dress,5.99,706,1,0,5,1,16,2,31,12,653,174,7,Elegant,Light Grey,Plain,Knee Length,Fitted,Sweetheart,Sleeveless,,,Split Thigh,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,,,Slit,
58,swdress07201102205,SHEIN Split Thigh Solid Dress,3.99,706,1,0,5,1,16,2,31,12,653,174,4,Elegant,Khaki,Plain,Knee Length,Fitted,Sweetheart,Sleeveless,,,Split Thigh,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,,,,Slit,
59,swpants44201215644,Solid High waist Flare Leg Pants,9.0,0,0,0,0,0,0,0,0,0,0,0,10,Casual,Black,Plain,Long,Flare Leg,,,,,,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,
60,swpants03200807565,Butterfly And Lightning Print Pants,13.0,1252,1252,257,50,4,86,18,0,0,997,212,15,,Black,"Graphic, Animal",Long,,,,,,Pocket,,"97% Polyester, 3% Spandex",Polyester,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,
61,swpants23201113406,Butterfly And Lightning Print Sweatpants,13.0,1252,32,6,50,4,86,18,91,18,997,212,15,,Black,"Graphic, Animal",Cropped,,,,,,Pocket,All,"97% Polyester, 3% Spandex",Polyester,Non-Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,
62,swtop07200518433,SHEIN Zipper Back Satin Tube Top,11.0,5174,71,12,117,23,242,61,316,87,4428,1224,13,Glamorous,Black,Plain,Crop,,Strapless,Sleeveless,,Placket,"Asymmetrical, Zipper",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,Asymmetrical,
63,swtop07200219345,SHEIN Satin Tube Top,11.0,5174,71,12,117,23,242,61,316,87,4428,1224,13,Glamorous,White,Plain,Crop,,Strapless,Sleeveless,,Pullovers,"Backless, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
64,swdress07201225611,SHEIN Tie Back Floral Halter Dress,8.0,3,0,0,0,0,0,0,0,0,3,0,9,Boho,Multicolor,Floral,Short,A Line,Stand Collar,Sleeveless,,,Tie Back,Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
65,swtwop07200814119,SHEIN Ribbed V-Neck Tee & Drawstring Leggings Set,13.0,10000,0,0,0,0,0,0,0,0,9999,3101,15,Casual,Black,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Knot, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,Leggings,Tee,,,,
66,swtwop07200727547,SHEIN V Neck Solid Top & Knot Front Leggings Set,13.0,10000,0,0,0,0,0,0,0,0,9999,3101,15,Casual,Rust Brown,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Rib-Knit, Tie Front",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,Leggings,Tee,,,,
67,swtwop07200814901,SHEIN Ribbed V-Neck Tee & Drawstring Leggings Set,13.0,10000,0,0,0,0,0,0,0,0,9999,3101,15,Casual,Light Grey,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Knot, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,Leggings,Tee,,,,
68,swtwop07200814146,SHEIN Ribbed V-Neck Tee & Drawstring Leggings Set,13.0,10000,0,0,0,0,0,0,0,0,9999,3101,15,Casual,Mint Green,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Knot, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,Leggings,Tee,,,,
69,swtwop07200817076,SHEIN Ribbed V-Neck Tee & Drawstring Leggings Set,13.0,10000,0,0,0,0,0,0,0,0,9999,3101,15,Casual,Baby Pink,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Drawstring, Rib-Knit",Fall/Winter,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,Pants,Tee,,,,
70,swtwop07200817225,SHEIN Ribbed V-Neck Crop Top & Drawstring Leggings Set,14.0,10000,0,0,0,0,0,0,0,0,9999,3101,17,Casual,Maroon,Plain,,,V neck,Long Sleeve,Regular Sleeve,,"Knot, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,Leggings,Tee,,,,
71,swtee04200731089,No Bad Vibes Graphic Oversized Tee,8.99,6847,36,11,44,8,141,23,256,60,6372,1569,10,Casual,Black,Slogan,Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
72,swtee04200604844,Drop Shoulder Slogan Graphic Longline Tee,8.99,6847,36,11,44,8,141,23,256,60,6372,1569,10,Casual,Black,Slogan,Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
73,swtee04200731956,Drop Shoulder Slogan Graphic Longline Tee,8.99,6847,36,11,44,8,141,23,256,60,6372,1569,10,Casual,White,Slogan,Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,,,,,
74,swtee44201218081,Letter Graphic Oversized Tee,5.99,3694,27,4,67,10,160,26,295,74,3145,554,7,Casual,Navy Blue,"Letter, Graphic",Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,,,,,
75,swtee44200424434,Letter Graphic Oversized Tee,5.99,3694,27,4,67,10,160,26,295,74,3145,554,7,Casual,White,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,,,,,
76,swtee44201012512,Letter Graphic Oversized Tee,7.99,3694,27,4,67,10,160,26,295,74,3145,554,9,Casual,Black,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Rayon,High Stretch,No,Oversized,,,,,,,,,,,,
77,swtee44201218594,Letter Graphic Oversized Tee,5.99,3694,27,4,67,10,160,26,295,74,3145,554,7,Casual,Yellow,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,,,,,
