,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Arabian Clothing
18,swvest07200623280,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,White,Plain,Crop,Tank,Collar,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Half Placket Rib-knit Tank Top,7.0,,,,,
19,swvest07200807528,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,Black,Plain,Crop,Tank,Polo,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ribbed Half-Button Placket Cropped Tank Top,7.0,,,,,
20,swvest07200807092,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,Lime Green,Plain,Crop,Tank,Polo,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ribbed Half-Button Cropped Tank Top,7.0,,,,,
21,swvest07201120555,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,Mint Green,Plain,Crop,Tank,Collar,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Half Placket Rib-knit Tank Top,7.0,,,,,
22,swvest07201120785,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,"Bright, Watermelon Pink",Plain,Crop,Tank,Collar,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Half Placket Rib-knit Tank Top,7.0,,,,,
23,swtop04201118190,,4,0,0,0,0,0,0,0,0,4,0,9,Casual,Khaki,Plain,Regular,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,V Neck Mixed Knit Sweater Vest,7.49,,,,,
24,swouter02201208746,,392,2,0,3,2,7,0,21,5,359,82,31,Elegant,Black and White,Plaid,Short,Pea Coat,Lapel,Long Sleeve,Regular Sleeve,,"Double Button, Pocket",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Plaid Print Double Breasted Lapel Collar Overcoat,26.0,Double Breasted,,,,
25,swouter02201023210,,392,2,0,3,2,7,0,21,5,359,82,31,Elegant,Dark Grey,Plaid,Short,Pea Coat,Lapel,Long Sleeve,Regular Sleeve,,"Double Button, Pocket",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Plaid Print Double Breasted Lapel Collar Overcoat,26.0,Double Breasted,,,,
26,swouter02201208950,,392,2,0,3,2,7,0,21,5,359,82,23,Elegant,Multicolor,Plaid,Short,Pea Coat,Lapel,Long Sleeve,Regular Sleeve,,"Double Button, Pocket",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,Plaid Print Double Breasted Lapel Collar Overcoat,19.0,Double Breasted,,,,
27,swpants04200630420,,10000,0,0,0,0,0,0,0,0,9999,3605,27,,Medium Wash,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Baggy Jeans,23.0,,,,,
28,swpants04200824946,,10000,0,0,0,0,0,0,0,0,9999,3605,26,,Grey,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Baggy Jeans,22.0,,,,,
29,swpants04200824975,,10000,0,0,0,0,0,0,0,0,9999,3605,27,,Medium Wash,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Baggy Jeans,23.0,,,,,
30,swpants04200824366,,10000,0,0,0,0,0,0,0,0,9999,3605,27,,White,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Baggy Jeans,23.0,,,,,
31,swpants04200824641,,10000,0,0,0,0,0,0,0,0,9999,3605,26,,Black,Plain,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Straight Leg Jeans Without Belt,22.0,,No,,,
32,swpants04200825609,,10000,0,0,0,0,0,0,0,0,9999,3605,27,,Medium Wash,Plain,Long,Baggy,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Baggy Jeans,23.0,,,,,
33,swtee07200828166,,2102,9,0,11,4,51,13,137,30,1894,492,6,Casual,Black,Plaid,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Mock Neck Checked Tee,4.99,,,,,
34,swvest07201204154,,82,0,0,0,0,0,0,2,0,81,9,4,Casual,Black and White,Animal,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Ruched Bust",Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Cow Print Ruched Bust Bandana Cami Top,4.0,,,Asymmetrical,,
35,swshorts07201126700,,6,0,0,0,0,0,0,0,0,6,0,9,Casual,Light Grey,Plain,,Track Shorts,,,,,"Drawstring, Pocket",Spring/Summer/Fall,100% Cotton,Cotton,Non-Stretch,No,Regular Fit,Drawstring Waist,High Waist,,,,,,SHEIN Slant Pocket Track Shorts,7.49,,,,,
36,swjacket04201023078,,501,2,0,2,0,12,3,33,9,454,87,19,Preppy,Multicolor,Plaid,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Buttoned Plaid Crop Jacket,16.0,Single Breasted,,,,
37,swjacket04200907587,,501,2,0,2,0,12,3,33,9,454,87,18,Preppy,Multicolor,Plaid,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Plaid Trucker Jacket,15.0,Single Breasted,,,,
38,swjacket04201023724,,501,2,0,2,0,12,3,33,9,454,87,13,Preppy,Red and White,Plaid,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Buttoned Plaid Crop Jacket,10.99,Single Breasted,,,,
39,swjacket04201024238,,501,2,0,2,0,12,3,33,9,454,87,15,Casual,Multicolor,Plaid,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Button, Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Buttoned Plaid Crop Jacket,12.49,Single Breasted,,,,
40,swsweater23201027248,,10,0,0,0,0,0,0,0,0,11,1,17,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Polyester,Polyester,High Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Color Block Sweater,14.0,,,,,
41,swtee44200628490,,2829,38,6,46,6,127,15,250,62,2368,445,12,Casual,Black,"Letter, Graphic",Long,,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Cotton Blends,High Stretch,No,Regular Fit,,,,,,,,Chinese Character & Lightning Print Longline Tee,9.99,,,,,
42,swleg01201216288,,0,0,0,0,0,0,0,0,0,0,0,14,Casual,Black,Plain,Cropped,Regular,,,,,,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,Solid Wide Waistband Leggings,12.0,,,,,
43,swpants23201208340,,20,0,0,0,0,1,0,1,0,18,1,17,,Black,Plain,Long,,,,,,"Pocket, Drawstring",,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Drawstring Hem Elastic Waist Slant Pocket Sweatpants,14.0,,,,,
44,swshorts01201128414,,1107,16,2,22,3,60,16,79,19,930,210,17,,Medium Wash,Plain,,Straight Leg,,,,,"Ripped, Raw Hem, Pocket, Washed",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,Ripped Raw Hem Solid Denim Shorts,14.0,,,,,
45,swshorts01200318024,,1107,16,2,22,3,60,16,79,19,930,210,18,,Blue,Plain,,Straight Leg,,,,,"Ripped, Raw Hem",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,Ripped Raw Hem Solid Denim Shorts,15.0,,,,,
46,swshorts01200429958,,1107,16,2,22,3,60,16,79,19,930,210,12,,Medium Wash,Plain,,Straight Leg,,,,,"Ripped, Raw Hem",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,Ripped Raw Hem Denim Shorts,10.0,,,,,
47,swtop01201128282,,35,0,0,0,0,2,0,2,0,31,0,10,Casual,Grey,Plain,Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,9.0,,,,,
48,swtee07200909195,,10000,0,0,0,0,0,0,0,0,9999,3992,4,Elegant,Black,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"94% Rayon, 6% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,SHEIN Mesh Yoke Solid Tee,3.99,,,,,
49,swtee07200929049,,10000,0,0,0,0,0,0,0,0,9999,3992,6,Elegant,Maroon,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Sheer, Contrast Mesh",Spring/Summer,"94% Rayon, 6% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,SHEIN Mesh Yoke Solid Tee,4.99,,,,,
50,swtee07200929764,,10000,0,0,0,0,0,0,0,0,9999,3992,6,Elegant,Coffee Brown,Plain,Regular,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Sheer, Contrast Mesh",Spring/Summer,"94% Rayon, 6% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,SHEIN Mesh Yoke Solid Tee,4.99,,,,,
51,swtee07201127632,,10000,0,0,0,0,0,0,0,0,9999,3992,4,Elegant,White,Plain,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Sheer, Contrast Mesh",Spring/Fall,"94% Rayon, 6% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,SHEIN Mesh Yoke Solid Tee,3.99,,,,,
52,swdress07201210075,,184,0,0,2,1,1,0,3,1,177,26,10,Glamorous,Teal Blue,Plain,Short,Bodycon,"Spaghetti Strap, Cowl Neck",Sleeveless,,,Draped,All,"10% Spandex, 90% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Cowl Neck Velvet Dress,9.0,,,Pencil,,
53,swdress07201030445,,184,0,0,2,1,1,0,3,1,177,26,9,Glamorous,Maroon,Plain,Short,Bodycon,"Spaghetti Strap, Cowl Neck",Sleeveless,,,,All,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Cowl Neck Velvet Dress,8.0,,,Pencil,,
54,swdress07201210602,,184,0,0,2,1,1,0,3,1,177,26,8,Glamorous,Black,Plain,Short,Bodycon,"Spaghetti Strap, Cowl Neck",Sleeveless,,,,All,"8% Spandex, 92% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Cowl Neck Velvet Bodycon Dress,7.0,,,Pencil,,
55,swsweatsh01201027235,,442,1,0,2,1,6,0,13,0,420,59,18,Casual,Light Grey,Letter,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Kangaroo Pocket Drawstring Hoodie,14.99,,,,,
56,swtop01201217037,,382,0,0,0,0,5,0,13,2,364,37,20,Casual,Black,Plain,Long,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,17.0,,,,,
57,swtop01201121488,,382,0,0,0,0,5,0,13,2,364,37,23,Casual,Beige,Plain,Long,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,19.0,,,,,
58,swtop01201217183,,382,0,0,0,0,5,0,13,2,364,37,24,Casual,Grey,Plain,Long,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,20.0,,,,,
59,swtop01201217584,,382,0,0,0,0,5,0,13,2,364,37,20,Casual,Khaki,Plain,Long,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,17.0,,,,,
60,swtop01201217700,,384,0,0,0,0,5,0,13,2,2,39,24,Casual,Dusty Blue,Plain,Long,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Cable Knit Sweater Vest Without Blouse,20.0,,,,,
61,swleg07201130024,,19,0,0,0,0,0,0,0,0,20,3,5,Casual,Multicolor,Plaid,Long,Regular,,,,,,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,SHEIN Elastic Waist Plaid Leggings,4.49,,,,,
62,swtop07201111399,,8,0,0,0,0,1,0,0,0,8,0,6,Casual,Multicolor,Marble,Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"5% Spandex, 95% Polyester",Mesh,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Mock-Neck Marble Print Mesh Top Without Bra,5.0,,,,,
63,swvest07201204690,,37,0,0,0,0,1,1,2,0,35,1,6,Casual,Multicolor,Tie Dye,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Ruched Bust",Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ruched Bust Seam Front Tie Dye Cami Top,5.0,,,,,
64,swdress23201128498,,5,0,0,0,0,0,0,0,0,5,0,17,Casual,Grey,Plain,Short,Fitted,V neck,Long Sleeve,Drop Shoulder,,"Wrap, Rib-Knit, Tie Front",Spring/Fall,"65% Rayon, 35% Polyester",Rayon,Slight Stretch,No,Regular Fit,,Natural,,,,,,Tie Front Drop Shoulder Dress,14.0,,,Pencil,,
65,swvest07201204480,,60,0,0,0,0,0,0,3,0,57,13,4,Casual,Multicolor,Leopard,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Leopard Print Ruched Bust Hanky Hem Cami Top,4.0,,,Asymmetrical,,
66,swsweater04201116000,,239,1,1,3,1,4,1,13,2,219,39,24,Casual,Burgundy,,Crop,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Winter,100% Acrylic,Acrylic,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Oversize Sweater,20.0,,,,,
67,swsweater04201017631,,239,1,1,3,1,4,1,13,2,219,39,24,Casual,Multicolor,,Crop,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Oversize Sweater,20.0,,,,,
68,swsweater04201116301,,239,1,1,3,1,4,1,13,2,219,39,21,Casual,Dusty Pink,,Crop,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Oversized,,,,,,,,Drop Shoulder Oversize Sweater,18.0,,,,,
69,swsweater04201116321,,239,1,1,3,1,4,1,13,2,219,39,24,Casual,Multicolor,,Crop,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Oversize Sweater,20.0,,,,,
70,swtee07201202340,,27,0,0,0,0,1,0,0,0,26,5,7,Casual,Multicolor,Tie Dye,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Summer,"4% Spandex, 96% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Tie Dye Tee,5.99,,,,,
71,swtee07201208545,,36,0,0,0,0,3,0,1,0,32,1,6,Casual,Black,Letter,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Letter Graphic Crop Tee,4.99,,,,,
72,swvest07201126916,,10,0,0,0,0,0,0,0,0,10,0,3,Sexy,Black,Plain,Crop,Halter,Halter,,,,"Backless, Asymmetrical, Tie Back",Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Self Tie Solid Halter Top,3.0,,,Asymmetrical,,
73,swpants04201109195,,24,0,0,0,0,3,1,4,0,17,2,24,Elegant,Brown,Plain,Long,Flare Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"85% Cotton, 15% Polyester",Corduroy,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,Wide Leg Cord Pants,20.0,,,,,
74,swblouse07201205725,,3695,36,14,34,13,85,21,121,54,3421,1133,7,Casual,Dark Green,Plain,Regular,Top,Round Neck,Sleeveless,,Pullovers,Button,Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Solid Sleeveless Shoulder Pad Satin Top,6.0,,,,,
75,swblouse07200911744,,3695,36,14,34,13,85,21,121,54,3421,1133,7,Casual,Black,Plain,Regular,Top,Round Neck,Sleeveless,,Pullovers,,Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Solid Sleeveless Shoulder Pad Satin Top,6.0,,,,,
76,swblouse07200930031,,3695,36,14,34,13,85,21,121,54,3421,1133,7,Elegant,Maroon,Plain,Regular,Top,Round Neck,Sleeveless,,Pullovers,Button,Summer,100% Polyester,Satin,Non-Stretch,No,Oversized,,,,,,,,SHEIN Solid Sleeveless Shoulder Pad Satin Top,6.0,,,,,
77,swblouse07201209699,,3695,36,14,34,13,85,21,121,54,3421,1133,7,Elegant,Royal Blue,Plain,Regular,Top,Round Neck,Sleeveless,,Pullovers,Button,Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Solid Sleeveless Shoulder Pad Satin Top,6.0,,,,,
78,swblouse07201209078,,3695,36,14,34,13,85,21,121,54,3421,1133,7,Elegant,Dusty Pink,Plain,Regular,Top,Round Neck,Sleeveless,,Pullovers,Button,Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Solid Sleeveless Shoulder Pad Satin Top,6.0,,,,,
79,swvest42200901671,,38,0,0,0,0,0,0,4,0,35,2,14,Boho,Multicolor,Ditsy Floral,Crop,Halter,Halter,,,,"Cut Out, Backless, Ruched, Tie Back",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Double Crazy Halterneck Cut-out Ruched Ditsy Floral Crop Top,12.0,,,,,
80,swvest42210113751,,38,0,0,0,0,0,0,4,0,35,2,14,Boho,Multicolor,Ditsy Floral,Crop,Halter,Halter,,,,"Cut Out, Backless, Ruched, Tie Back",Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Double Crazy Halterneck Cut-out Ruched Ditsy Floral Crop Top,12.0,,,,,
