SKU,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Season,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Body,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Rib-Knit,Pocket,Zipper,Button Front,Drawstring,Button,Lettuce Trim,Ruched,Knot,Contrast Lace,Frill,Ruched Bust,Backless,Tie Back,Wrap,Embroidery,Split,Asymmetrical,Ruffle,Belted,Ripped,Cut Out,Raw Hem,Ruffle Hem,Lace Up,Tie Front,Pleated,Criss Cross,Double Button,Contrast Binding,Split Thigh,Shirred,Classification
swblazer04201030333,31,2,7,110,6,41,18,4,6,0,2,18,2,0,2,6,2,0,1,Single Button PU Leather Oversized Blazer,26.0,3,0,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swpants07200508381,10,2,45,110,6,20,12,1,7,0,8,19,4,0,4,4,3,0,1,SHEIN Ribbed Marble Knit Flare Pants,9.0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swpants07200619254,13,2,98,110,6,20,12,1,7,0,8,19,4,0,4,4,3,0,1,SHEIN Flare Leg Rib-knit Pants,11.0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swpants07200619000,13,2,7,110,6,20,12,1,7,0,8,19,4,0,4,4,5,0,1,SHEIN Flare Leg Rib-knit Pants,11.0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swpants07200908730,14,5,49,110,6,20,12,1,7,0,8,19,4,0,4,4,5,0,1,SHEIN Flare Leg Solid Pants,12.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swskirt07201119327,9,15,64,126,9,0,12,1,7,0,9,19,2,0,0,6,3,0,1,SHEIN Fold Pleated Tartan Skirt,8.0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweatsh23201016666,12,2,51,81,10,40,25,4,6,0,5,19,4,0,2,6,2,0,1,Letter & Eagle Print Drop Shoulder Sweatshirt,9.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201028938,4,5,7,110,10,16,0,4,15,3,5,3,4,0,6,6,2,0,1,SHEIN Asymmetrical Neck Rib-knit Tee,3.99,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse23201014703,13,5,64,60,10,60,39,4,15,1,5,19,2,0,4,6,2,0,1,Tie Neck Keyhole Back Geo Top,11.0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse23201125661,13,5,64,60,10,60,39,4,15,1,5,19,2,0,4,6,2,0,1,Tie Neck Keyhole Back Geo Top,11.0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse23201125918,13,5,64,60,10,60,39,4,15,1,5,19,2,0,4,6,2,0,1,Tie Neck Keyhole Back Geo Top,11.0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swvest07201113659,6,2,64,1,1,10,29,1,7,0,9,19,4,0,6,6,2,0,1,SHEIN Lace Trim Chinese Dragon and Fire Print Cami Top,5.0,1,0,1,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweater07201109132,21,2,108,110,10,40,13,4,6,3,10,19,4,0,4,6,2,0,1,SHEIN Turtle Neck Fuzzy Sweater,18.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweatsh07201031565,4,2,0,110,10,40,15,4,6,0,10,22,4,0,4,6,2,0,1,SHEIN High Neck Drop Shoulder Solid Teddy Pullover,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swleg23200911840,12,2,7,110,2,41,12,1,7,0,0,18,4,0,0,6,2,0,1,PU High Waist Leggings,10.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swtee23201012619,12,2,64,21,10,16,25,4,15,3,5,19,4,0,4,6,2,0,1,Cut And Sew Tee,9.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee23200908151,4,2,64,21,10,16,25,4,15,3,5,19,4,0,4,6,2,0,1,Cut And Sew Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee23201012723,12,2,45,21,10,16,25,4,15,3,5,19,4,0,4,6,2,0,1,Cut And Sew Tee,9.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee23201012209,12,2,64,21,10,16,25,4,15,3,5,19,4,0,4,6,2,0,1,Cut And Sew Tee,9.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop07201111398,27,17,30,110,4,16,40,4,6,0,5,19,4,0,4,6,2,0,6,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swtwop07200918716,29,2,26,110,4,16,40,4,6,0,5,19,4,0,4,6,2,0,6,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,24.0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swtwop07201111396,27,17,34,110,4,16,40,4,6,0,5,19,4,0,4,6,2,0,6,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swpants04201016956,24,8,7,110,6,66,12,1,7,0,1,5,2,0,1,7,3,0,1,High Waist Wide Leg Jeans,20.0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swpants04200316353,24,8,9,110,6,66,12,1,7,0,1,5,2,0,1,1,3,0,1,High-Rise Baggy Jeans,20.0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swdress03201009490,26,2,57,110,11,16,15,4,6,0,10,3,4,0,4,6,2,0,1,Turtleneck Cable And Ribbed Knit Dress,22.0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress03200703647,26,5,4,110,11,16,15,4,15,0,10,3,4,0,4,6,5,0,1,High Neck Cable Knit Sweater Dress,22.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress03200924089,23,2,45,110,11,16,15,4,6,0,3,3,4,0,4,6,2,0,1,Cable Knit Turtleneck Drop Shoulder Sweater Dress,19.0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress03201007577,26,2,7,110,11,16,15,4,6,0,3,3,4,0,4,6,2,0,1,Cable Knit Turtleneck Drop Shoulder Sweater Dress,22.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23201026020,26,5,33,110,11,16,15,4,6,0,10,3,4,0,4,6,2,0,1,Turtleneck Cable Knit Sweater Dress,22.0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23201111922,26,2,92,110,11,16,15,4,6,0,3,3,4,0,4,6,2,0,1,Cable Knit Turtleneck Sweater Dress,22.0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23200929774,17,5,7,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23200902858,17,5,23,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Cami Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23200929672,17,5,30,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23200929484,17,5,66,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23201008988,17,5,108,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23201008963,17,5,49,110,8,7,29,8,7,0,9,19,1,0,6,6,5,0,1,Solid Ruched Bodycon Dress,14.0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07200929461,4,5,0,110,10,16,33,4,15,3,4,19,4,0,6,6,2,0,1,SHEIN Solid High Neck Form Fitted Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07190522351,4,0,108,110,10,16,15,4,7,3,5,19,4,0,6,6,2,0,1,SHEIN Solid Form-Fitting Turtleneck Top,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07190522302,4,5,74,110,10,16,33,4,7,3,4,19,4,0,6,6,2,0,1,SHEIN Solid Mock-neck Form Fitting Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07190522629,4,0,66,110,10,16,15,4,7,3,5,7,4,0,6,6,2,0,1,SHEIN High Neck Solid Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07200929608,4,5,32,110,10,16,33,4,15,3,4,19,4,0,6,6,2,0,1,SHEIN Solid High Neck Form Fitted Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse01200930068,13,2,7,110,6,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button Up Drop Shoulder Blouse,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse03200807735,13,5,108,110,10,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button-Front Drop Shoulder Shirt,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse01201012088,13,5,61,110,10,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button Up Drop Shoulder Blouse,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse01201012145,13,5,57,110,10,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button Up Drop Shoulder Blouse,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse01201026720,13,5,51,110,10,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button Up Drop Shoulder Blouse,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblouse01201026337,13,5,29,110,10,43,5,4,6,2,5,19,4,0,4,6,2,0,1,Solid Button Up Drop Shoulder Blouse,11.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201114479,9,2,22,36,1,16,25,4,15,3,7,19,4,0,6,6,2,0,1,SHEIN Lettuce Trim Rib-knit Crop Top,7.99,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swtee07201209087,9,2,7,36,1,16,25,4,15,3,7,19,4,0,6,6,2,0,1,SHEIN Lettuce Trim Rib-knit Crop Top,7.99,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201209931,7,2,108,36,1,16,25,4,15,3,7,19,4,0,6,6,2,0,1,SHEIN Lettuce Trim Rib-knit Crop Top,5.99,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201026916,9,2,7,110,1,16,5,4,15,2,7,19,4,0,6,6,2,0,1,SHEIN Button Front Crop Tee,7.99,1,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201127051,9,2,108,110,1,16,5,4,15,2,7,19,4,0,6,6,2,0,1,SHEIN Button Front Crop Tee,7.99,1,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201109531,4,0,57,110,10,16,25,4,15,3,5,19,1,0,6,6,2,0,1,SHEIN Solid Form Fitted Tee,3.99,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07200909204,4,2,38,110,10,16,25,4,15,3,5,19,4,0,6,6,2,0,1,SHEIN Solid Waffle Knit Tee,3.99,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201109425,4,0,108,110,10,16,25,4,15,3,5,19,1,0,6,6,2,0,1,SHEIN Solid Form Fitted Tee,3.99,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swpants01201104029,24,8,52,110,6,50,12,1,7,0,1,5,2,0,4,7,3,0,1,Ripped Washed Straight Leg Jeans,20.0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
swpants01201211179,24,8,35,110,6,50,12,1,7,0,1,5,2,0,4,7,4,0,1,Ripped Washed Straight Leg Jeans,20.0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
swsweater04201030068,20,5,37,110,10,40,33,4,2,3,5,0,2,0,4,6,2,0,1,Mock Neck Ruffle Trim Pointelle Knit Sweater,17.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swshorts04200915683,20,8,59,110,4,50,12,1,7,0,1,5,4,0,5,7,3,0,1,Bleach Wash Ripped Roll Hem Denim Shorts,17.0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
swshorts04201127589,19,8,52,110,4,50,12,1,7,0,1,5,4,0,5,7,3,0,1,Bleach Wash Ripped Roll Hem Denim Shorts,16.0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
swshorts04201127051,20,8,35,110,4,50,12,1,7,0,1,5,4,0,5,7,3,0,1,Bleach Wash Ripped Roll Hem Denim Shorts,17.0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
swvest07201027706,3,16,8,134,1,55,19,1,7,0,9,19,4,0,6,6,2,0,1,SHEIN Notched Neck Lettuce Trim Zebra Striped Tank Top,2.49,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swvest07210104362,4,2,64,134,1,55,19,1,7,0,9,19,4,0,6,6,2,0,1,SHEIN Notched Neck Lettuce Trim Zebra Striped Tank Top,4.0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07200909588,6,2,8,80,1,16,25,4,15,3,7,19,4,0,6,6,2,0,1,SHEIN Lettuce Trim Newspaper Print Top,4.99,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201203767,6,2,64,80,1,16,25,4,15,3,5,19,4,0,6,6,2,0,1,SHEIN Lettuce Trim Newspaper Print Top,4.99,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swvest07201116353,4,2,108,110,1,10,29,1,7,0,9,19,4,0,6,6,2,0,1,SHEIN Rib-knit Solid Cami Top,4.0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swjacket44201117073,24,2,34,110,11,31,5,4,6,0,10,19,2,0,4,6,2,0,1,Drop Shoulder Zip Up Puffer Jacket,20.49,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swjacket03201023854,27,2,49,110,11,31,5,4,6,0,10,19,2,0,4,6,2,0,1,Drop Shoulder Zip Up Puffer Jacket,22.99,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swjacket44201117364,21,2,2,110,11,31,5,4,6,0,10,19,2,0,4,6,2,0,1,Drop Shoulder Zip Up Puffer Jacket,17.99,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swjacket44201117183,24,2,42,110,11,31,5,4,6,0,10,19,2,0,4,6,2,0,1,Drop Shoulder Zip Up Puffer Jacket,20.49,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swouter04200917321,24,2,6,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,20.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop04201126682,15,2,37,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,13.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop04201126925,16,2,7,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,13.49,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop04201128248,10,2,63,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,8.49,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop04201128014,15,2,45,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,13.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtwop04201128513,24,2,54,110,4,16,40,4,14,0,5,17,1,0,4,6,2,0,1,Button Front Fuzzy Cardigan With Bandeau,20.0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblazer04200916748,26,9,29,110,6,41,18,4,15,0,2,18,4,0,4,6,2,0,1,Peak Collar Pocket Front PU Leather Blazer,22.0,3,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblazer04201113878,13,9,26,110,6,41,18,4,15,0,2,18,4,0,4,6,2,0,1,Peak Collar Pocket Front PU Leather Blazer,10.99,3,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblazer04201113240,25,5,7,110,6,41,18,4,15,0,2,18,4,0,4,6,2,0,1,Peak Collar Pocket Front PU Leather Blazer,21.0,3,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swdress23200831837,13,5,64,45,11,0,33,4,8,0,7,19,2,0,4,6,3,0,1,Allover Floral Print Shirred Waist A-line Dress,11.0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,True
